subj	rel	obj
pea	kind of	plant
evaporate	agent	gas
antigua and barbuda	at location	northern hemisphere
recessive gene	causes	trait
heat liquid	structural-verb	heat
greater size	structural-adjective	greater
north pole	kind of	location
support plant	instrument	stem
detect odor	structural-patient	odor
odor	has property	bad
miles	kind of	length
cut down tree	at location	forest
preserve food	structural-patient	food
lizard eat insect	structural-patient	insect
plant	has subcomponent	stem
east lothian	at location	scotland
strong object	structural-noun	object
one	kind of	number
freeze	patient	liquid
touch	synonym	feel
drop object	structural-verb	drop
tube-like body	structural-noun	body
energy	has property	stored
southern hemisphere	structural-adjective	southern
adult animal	structural-noun	animal
find direction	structural-verb	find
see	patient	specimen
remora fish eat	structural-agent	remora fish
shandong	at location	people's republic of china
transport food	structural-verb	transport
control	patient	robot
tell	patient	difference
jarvis island (united states)	structural-noun-compound	states
tonnes	kind of	weight
tree species	structural-noun-compound	tree
plate tectonic	structural-noun-compound	plate
filter waste	instrument	kidney
ice cube	kind of	solid
scavenge	kind of	skill
provide warmth	structural-patient	warmth
blow air	structural-patient	air
crumple	patient	smooth object
tokelau (new zealand)	structural-noun-compound	new
identify pure substance	structural-verb	identify
good bacteria	structural-adjective	good
lizard	kind of	animal
take in	synonym	absorb
condensing	derivational morphology	condense
container	has subcomponent	air hole
source	has subcomponent	requirement
water vapour rise	result	cloud
remove harmful substance	structural-patient	harmful substance
absorb sound	structural-verb	absorb
hide	patient	seed
scavenger eat dead organism	structural-agent	scavenger
kangaroo drink milk	structural-verb	drink
epsomite	has property	magnetic
mouse	at location	hole
crack	result	break apart
decimeters	synonym	dm
roller skate	has subcomponent	wheel
living thing	has property	alive
pedal	patient	bicycle
shed fur	agent	animal
decay	agent	vegetation
burn coal	structural-patient	coal
gravity	at location	planet
less wetness	structural-quantifier	less
produce nuclear energy	structural-patient	nuclear energy
tree trunk	structural-noun-compound	tree
freezing point	structural-noun-compound	point
look in	patient	container
radio	has property	electrical
meteoroid impact	patient	moon
not see	antonym	see
highest temperature	structural-quantifier	highest
material	has property	rough
invent telephone	structural-verb	invent
reduce	patient	amount
increase	patient	temperature
swim	agent	animal
nuclear reaction	causes	light energy
dissolved oxygen	structural-noun	oxygen
flintshire	structural-noun-compound	flintshire
animal	has property	land
producer	has subcomponent	energy
mimicry	derivational morphology	mimic
sticky tongue	kind of	adaptation
beak	has property	skinny
yukon	instance of	territory
living entity	at location	home
glove	kind of	tool
water vapour	has property	invisible
reflect light	instrument	shiny object
clear weather	structural-adjective	clear
many energy	causes	high pulse
required items	structural-adjective	required
cromartyshire	structural-noun-compound	cromartyshire
study animal	instrument	capture animal
learned characteristic	kind of	acquired characteristic
windshield wiper	structural-noun-compound	windshield
omnivore eat plant	structural-verb	eat
czech republic	structural-noun-compound	republic
wrap	patient	conductor
ice	kind of	object
evaporate	agent	liquid
blow whistle	structural-verb	blow
animal	at location	zoo
make easier	synonym	help
bouvet island (norway)	structural-noun-compound	island
above value	structural-noun	value
matter state	structural-noun-compound	state
meters	kind of	distance
capture animal	at location	container
warwickshire	structural-noun-compound	warwickshire
natural resource	structural-noun	resource
dam river	structural-patient	river
close object	has property	large
animal	has subcomponent	skeletal system
absorb	patient	oxygen
determine type	structural-patient	type
know location	structural-patient	location
produce	patient	light
protected area	structural-noun	area
arctic	has property	cold
heat energy	structural-noun-compound	heat
egg hatch	structural-verb	hatch
shake	kind of	motion
distance	kind of	measure
compete	result	increase resource
wind speed	kind of	speed
chihuahua	instance of	state
invent tool	result	use tool
living thing survive	instrument	water
satellite orbit planet	structural-verb	orbit
transport food	at location	world
magnifying glass	kind of	tool
cloth	kind of	material
day	has subcomponent	daytime
young rock	at location	old rock
vibrate	kind of	motion
plant	kind of	organism
rot	agent	dead organism
1538c	kind of	celcius
nails	derivational morphology	nail
rabbit	kind of	prey
substance	has property	density
people	derivational morphology	person
precipitation	at location	cloud
doorbell	causes	sound
f e	structural-adjective	f
northamptonshire	instance of	county
change	agent	environment
saint barthélemy (france)	at location	northern hemisphere
temperature	has property	hot
chlorophyll	has property	green
add	kind of	activity
computer control robot	structural-agent	computer
negative impact	structural-adjective	negative
liberia	at location	southern hemisphere
high strength	structural-adjective	high
f l a	structural-adjective	f
diatom	kind of	producer
climate	has property	cool
see	instrument	refraction
water	has property	hot
bahrain	at location	northern hemisphere
exert force	structural-patient	force
nayarit	at location	mexico
other animals	structural-noun	animals
burn	patient	body part
wrap conductor	structural-verb	wrap
animal	has property	poisonous
gone	derivational morphology	go
human quality	structural-noun	quality
disperse seed	causes	tree reproduce
lay	agent	salmon
destroy pathogen	at location	body
bicycle	has subcomponent	axle
1 month	structural-quantifier	1
pounds	synonym	lb
fold	agent	rock
frying pan	structural-noun-compound	frying
latitude	has property	same
remain	synonym	not change
characteristics	derivational morphology	characteristics
warm	synonym	warm temperature
spider	causes	spiderweb
squirrel	kind of	animal
rain forest	structural-noun-compound	forest
bear eat animal	structural-verb	eat
planet	has subcomponent	mass
niue (new zealand)	structural-noun-compound	zealand
material	has property	recyclable
limited	derivational morphology	limit
open container	structural-adjective	open
form group	structural-patient	group
reproductive behavior	kind of	inherited characteristic
excretory	derivational morphology	excretion
blow	patient	air
instinctive behavior	kind of	inherited characteristic
animal become oil	structural-patient	oil
maintain health	structural-patient	health
mali	at location	southern hemisphere
magnetic field	kind of	force
object	has property	similar
animal learn	structural-agent	animal
protect cell membrane	structural-verb	protect
small intestine	structural-noun-compound	small
behaviour	has property	learned
egypt	at location	southern hemisphere
change position	structural-verb	change
distraction	causes	crash
pollinate	beneficiary	plant
substance	has property	negatively-charged
nurse	beneficiary	offspring
decrease heat	structural-patient	heat
part	synonym	stage
generate heat	structural-patient	heat
rain storm	structural-noun-compound	storm
return	kind of	movement
winter	causes	decrease temperature
