subj	rel	obj
pea	kind of	plant
evaporate	agent	gas
heat liquid	structural-verb	heat
greater size	structural-adjective	greater
north pole	kind of	location
support plant	instrument	stem
detect odor	structural-patient	odor
miles	kind of	length
preserve food	structural-patient	food
lizard eat insect	structural-patient	insect
strong object	structural-noun	object
squirrel eat edible plant	has negative impact on	plant
one	kind of	number
freeze	patient	liquid
touch	synonym	feel
drop object	structural-verb	drop
tube-like body	structural-noun	body
recycling	has positive impact on	environment
southern hemisphere	structural-adjective	southern
adult animal	structural-noun	animal
find direction	structural-verb	find
see	patient	specimen
remora fish eat	structural-agent	remora fish
transport food	structural-verb	transport
control	patient	robot
tell	patient	difference
jarvis island (united states)	structural-noun-compound	states
tonnes	kind of	weight
tree species	structural-noun-compound	tree
plate tectonic	structural-noun-compound	plate
filter waste	instrument	kidney
ice cube	kind of	solid
scavenge	kind of	skill
provide warmth	structural-patient	warmth
blow air	structural-patient	air
crumple	patient	smooth object
tokelau (new zealand)	structural-noun-compound	new
identify pure substance	structural-verb	identify
good bacteria	structural-adjective	good
lizard	kind of	animal
take in	synonym	absorb
water vapour rise	result	cloud
remove harmful substance	structural-patient	harmful substance
absorb sound	structural-verb	absorb
hide	patient	seed
scavenger eat dead organism	structural-agent	scavenger
kangaroo drink milk	structural-verb	drink
crack	result	break apart
decimeters	synonym	dm
pedal	patient	bicycle
shed fur	agent	animal
decay	agent	vegetation
burn coal	structural-patient	coal
less wetness	structural-quantifier	less
produce nuclear energy	structural-patient	nuclear energy
tree trunk	structural-noun-compound	tree
freezing point	structural-noun-compound	point
look in	patient	container
meteoroid impact	patient	moon
not see	antonym	see
highest temperature	structural-quantifier	highest
invent telephone	structural-verb	invent
reduce	patient	amount
increase	patient	temperature
swim	agent	animal
dissolved oxygen	structural-noun	oxygen
flintshire	structural-noun-compound	flintshire
sticky tongue	kind of	adaptation
yukon	instance of	territory
glove	kind of	tool
reflect light	instrument	shiny object
clear weather	structural-adjective	clear
required items	structural-adjective	required
cromartyshire	structural-noun-compound	cromartyshire
study animal	instrument	capture animal
learned characteristic	kind of	acquired characteristic
windshield wiper	structural-noun-compound	windshield
omnivore eat plant	structural-verb	eat
czech republic	structural-noun-compound	republic
wrap	patient	conductor
ice	kind of	object
evaporate	agent	liquid
blow whistle	structural-verb	blow
make easier	synonym	help
bouvet island (norway)	structural-noun-compound	island
above value	structural-noun	value
matter state	structural-noun-compound	state
meters	kind of	distance
warwickshire	structural-noun-compound	warwickshire
natural resource	structural-noun	resource
dam river	structural-patient	river
absorb	patient	oxygen
determine type	structural-patient	type
know location	structural-patient	location
produce	patient	light
protected area	structural-noun	area
heat energy	structural-noun-compound	heat
egg hatch	structural-verb	hatch
shake	kind of	motion
distance	kind of	measure
compete	result	increase resource
wind speed	kind of	speed
chihuahua	instance of	state
invent tool	result	use tool
living thing survive	instrument	water
satellite orbit planet	structural-verb	orbit
magnifying glass	kind of	tool
cloth	kind of	material
vibrate	kind of	motion
plant	kind of	organism
rot	agent	dead organism
1538c	kind of	celcius
rabbit	kind of	prey
f e	structural-adjective	f
northamptonshire	instance of	county
change	agent	environment
add	kind of	activity
computer control robot	structural-agent	computer
negative impact	structural-adjective	negative
high strength	structural-adjective	high
f l a	structural-adjective	f
diatom	kind of	producer
see	instrument	refraction
exert force	structural-patient	force
other animals	structural-noun	animals
burn	patient	body part
wrap conductor	structural-verb	wrap
human quality	structural-noun	quality
lay	agent	salmon
1 month	structural-quantifier	1
pounds	synonym	lb
fold	agent	rock
frying pan	structural-noun-compound	frying
remain	synonym	not change
warm	synonym	warm temperature
squirrel	kind of	animal
rain forest	structural-noun-compound	forest
bear eat animal	structural-verb	eat
niue (new zealand)	structural-noun-compound	zealand
open container	structural-adjective	open
form group	structural-patient	group
reproductive behavior	kind of	inherited characteristic
blow	patient	air
instinctive behavior	kind of	inherited characteristic
animal become oil	structural-patient	oil
maintain health	structural-patient	health
magnetic field	kind of	force
animal learn	structural-agent	animal
protect cell membrane	structural-verb	protect
small intestine	structural-noun-compound	small
change position	structural-verb	change
pollinate	beneficiary	plant
nurse	beneficiary	offspring
decrease heat	structural-patient	heat
part	synonym	stage
generate heat	structural-patient	heat
rain storm	structural-noun-compound	storm
return	kind of	movement
peat become coal	instrument	bury peat
higher	synonym	above value
become warm	structural-verb	become
change	patient	appearance
winter	has negative impact on	plant
sea turtle	kind of	animal
gold	kind of	solid
dark color	structural-noun	color
small diameter	structural-adjective	small
north pole	structural-noun-compound	north
access small space	instrument	skinny beak
newborn	synonym	just born
camel	kind of	animal
thick feather	structural-adjective	thick
answer	patient	question
fern	kind of	plant
dumbartonshire	instance of	county
crash	patient	car
inherited characteristic	kind of	hereditary information
pesticide	has positive impact on	plant
learn information	structural-verb	learn
poison	has negative impact on	living thing
eat	agent	carnivore
liquid push	structural-agent	liquid
bury	kind of	hide
young bird	structural-noun-compound	bird
flexible container	structural-adjective	flexible
burn living thing	has negative impact on	living thing
predator eat	patient	animal
every year	structural-adjective	every
photosynthesize	instrument	light
saint kitts and nevis	structural-noun-compound	nevis
reduce	patient	waste
prehistoric	synonym	very old
bee eat pollen	has positive impact on	bee
plant transport nutrient	structural-agent	plant
car accident	structural-noun-compound	accident
animal die	structural-verb	die
tube	kind of	hollow object
lemon tree	structural-noun-compound	tree
deposition	kind of	constructive force
mineral graphite	structural-noun-compound	graphite
travel	agent	plane
drinking straw	structural-noun-compound	straw
nevada	structural-noun-compound	nevada
organism	synonym	living entity
road surface	structural-noun-compound	road
produce	agent	source
rock form	kind of	process
invent tool	structural-verb	invent
push bike pedal	structural-verb	push
body of water	kind of	water
communication	has positive impact on	life
reflect light	structural-verb	reflect
prevent spoiling	structural-patient	spoiling
magma cool	structural-verb	cool
fall	synonym	autumn
