subj	rel	obj
pea	kind of	plant
evaporate	agent	gas
antigua and barbuda	at location	northern hemisphere
recessive gene	causes	trait
north pole	kind of	location
support plant	instrument	stem
odor	has property	bad
miles	kind of	length
cut down tree	at location	forest
plant	has subcomponent	stem
east lothian	at location	scotland
squirrel eat edible plant	has negative impact on	plant
one	kind of	number
freeze	patient	liquid
touch	synonym	feel
recycling	has positive impact on	environment
energy	has property	stored
see	patient	specimen
shandong	at location	people's republic of china
control	patient	robot
tonnes	kind of	weight
filter waste	instrument	kidney
ice cube	kind of	solid
scavenge	kind of	skill
crumple	patient	smooth object
lizard	kind of	animal
take in	synonym	absorb
condensing	derivational morphology	condense
container	has subcomponent	air hole
source	has subcomponent	requirement
water vapour rise	result	cloud
hide	patient	seed
epsomite	has property	magnetic
mouse	at location	hole
crack	result	break apart
decimeters	synonym	dm
roller skate	has subcomponent	wheel
living thing	has property	alive
pedal	patient	bicycle
shed fur	agent	animal
decay	agent	vegetation
gravity	at location	planet
look in	patient	container
radio	has property	electrical
meteoroid impact	patient	moon
not see	antonym	see
material	has property	rough
reduce	patient	amount
increase	patient	temperature
swim	agent	animal
nuclear reaction	causes	light energy
animal	has property	land
producer	has subcomponent	energy
mimicry	derivational morphology	mimic
sticky tongue	kind of	adaptation
beak	has property	skinny
yukon	instance of	territory
living entity	at location	home
glove	kind of	tool
water vapour	has property	invisible
reflect light	instrument	shiny object
study animal	instrument	capture animal
learned characteristic	kind of	acquired characteristic
wrap	patient	conductor
ice	kind of	object
evaporate	agent	liquid
animal	at location	zoo
make easier	synonym	help
meters	kind of	distance
capture animal	at location	container
close object	has property	large
animal	has subcomponent	skeletal system
absorb	patient	oxygen
produce	patient	light
arctic	has property	cold
shake	kind of	motion
distance	kind of	measure
compete	result	increase resource
wind speed	kind of	speed
chihuahua	instance of	state
invent tool	result	use tool
living thing survive	instrument	water
transport food	at location	world
magnifying glass	kind of	tool
cloth	kind of	material
day	has subcomponent	daytime
young rock	at location	old rock
vibrate	kind of	motion
plant	kind of	organism
rot	agent	dead organism
1538c	kind of	celcius
nails	derivational morphology	nail
rabbit	kind of	prey
substance	has property	density
people	derivational morphology	person
precipitation	at location	cloud
doorbell	causes	sound
northamptonshire	instance of	county
change	agent	environment
saint barthélemy (france)	at location	northern hemisphere
temperature	has property	hot
chlorophyll	has property	green
add	kind of	activity
liberia	at location	southern hemisphere
diatom	kind of	producer
climate	has property	cool
see	instrument	refraction
water	has property	hot
bahrain	at location	northern hemisphere
nayarit	at location	mexico
burn	patient	body part
animal	has property	poisonous
gone	derivational morphology	go
disperse seed	causes	tree reproduce
lay	agent	salmon
destroy pathogen	at location	body
bicycle	has subcomponent	axle
pounds	synonym	lb
fold	agent	rock
latitude	has property	same
remain	synonym	not change
warm	synonym	warm temperature
spider	causes	spiderweb
squirrel	kind of	animal
planet	has subcomponent	mass
material	has property	recyclable
limited	derivational morphology	limit
reproductive behavior	kind of	inherited characteristic
excretory	derivational morphology	excretion
blow	patient	air
instinctive behavior	kind of	inherited characteristic
mali	at location	southern hemisphere
magnetic field	kind of	force
object	has property	similar
behaviour	has property	learned
egypt	at location	southern hemisphere
distraction	causes	crash
pollinate	beneficiary	plant
substance	has property	negatively-charged
nurse	beneficiary	offspring
part	synonym	stage
return	kind of	movement
winter	causes	decrease temperature
peat become coal	instrument	bury peat
higher	synonym	above value
change	patient	appearance
winter	has negative impact on	plant
sea turtle	kind of	animal
gold	kind of	solid
light years	derivational morphology	light year
access small space	instrument	skinny beak
decreasing	derivational morphology	decrease
newborn	synonym	just born
light bulb	causes	light
camel	kind of	animal
human	has property	male
device	has property	electric
fern	kind of	plant
dumbartonshire	instance of	county
crash	patient	car
inherited characteristic	kind of	hereditary information
pesticide	has positive impact on	plant
human	at location	house
poison	has negative impact on	living thing
eat	agent	carnivore
substance	has property	simple
electromagnet	has subcomponent	copper wire
bury	kind of	hide
burn living thing	has negative impact on	living thing
object	has property	function
rising	derivational morphology	rise
predator eat	patient	animal
offshore oil platform	at location	sea
cold environment	has subcomponent	few organism
photosynthesize	instrument	light
reduce	patient	waste
prehistoric	synonym	very old
bee eat pollen	has positive impact on	bee
month	has subcomponent	moon revolve
plant	has subcomponent	chlorophyll
sea animal	at location	ocean
deposition	kind of	constructive force
travel	agent	plane
light	has property	visible
seeds	derivational morphology	seed
baby	causes	adult
thunderstorm	has subcomponent	thunder
organism	synonym	living entity
produce	agent	source
rock form	kind of	process
tamaulipas	at location	mexico
body of water	kind of	water
communication	has positive impact on	life
fall	synonym	autumn
edible plants	derivational morphology	edible plant
move object	result	sound
human	at location	planet
push bone	result	move bone
motion	has property	circular
electrical circuit	has property	complete
conduct	derivational morphology	conductor
change	agent	ecosystem
bright	antonym	dark
grass	has property	fake
animal	kind of	living thing
lift	patient	object
hail	at location	cloud
park	kind of	environment
remove waste	instrument	kidney
alligators	derivational morphology	alligator
pollinate	agent	water
logging	synonym	cut down forest
little food	causes	starvation
earth revolve	at location	axis
dry	instrument	hand dryer
role	synonym	function
jalisco	at location	mexico
humidity	at location	atmosphere
young	has property	live
soft	kind of	touch sensation
learned behaviour	kind of	behaviour
toothbrush	has property	electric
improvement	synonym	positive impact
pole tilt from sun	result	winter
bhutan	at location	northern hemisphere
sedimentary rock	has subcomponent	small particle
radiation affect	patient	distant object
plankton	kind of	animal
remove	synonym	decrease
channel	has subcomponent	moving water
object	has subcomponent	characteristic
earth	has subcomponent	earth surface
breathe	patient	water
compete	agent	predator
animal scale	has property	small
loud	instance of	volume
worm	has subcomponent	tube-like body
newfoundland and labrador	instance of	province
signal	has property	electrical
climb	result	high
area	has property	coastal
recycling	has positive impact on	conservation
increase	agent	size
earth's tilt	result	season change
drink milk	kind of	instinct
harm	patient	entity
flow	at location	pipe
