subj	rel	obj	id	flag
car move|av	at location	road|n	010c-39f3-1b7a-7408	0
liquid|n	at location	container|n	02c3-9c98-38d9-3711	0
liquid|n	has property	shape|j	02c3-9c98-38d9-3711	0
matter|n	has property	shape|j	02c3-9c98-38d9-3711	0
matter|n	has property	volume|n	02c3-9c98-38d9-3711	0
digestion|n	has subcomponent	stomach acid break down food|avp	0323-62a6-1a45-17a9	0
photosynthesize|v	at location	leaf|n	0514-7919-c1bf-6188	0
photosynthesize|v	derivational morphology	photosynthesis|n	0514-7919-c1bf-6188	0
photosynthesize|v	instrument	sunlight|n	0514-7919-c1bf-6188	0
catch prey|vp	agent	predator|n	07b2-9ecc-9cbf-916e	0
catch prey|vp	instrument	move|v	07b2-9ecc-9cbf-916e	0
ride vehicle|vp	agent	human|n	08a9-b262-9252-9125	0
birth|v	agent	mother|n	0bc0-292e-ad9a-9017	0
birth|v	result	offspring|n	0bc0-292e-ad9a-9017	0
transmit|v	agent	vehicle|n	0c4a-5373-ba1c-b533	0
adult|n	kind of	animal|n	0cfa-af72-38ef-3394	0
baby|n	causes	adult|n	0cfa-af72-38ef-3394	0
child|n	kind of	animal|n	0cfa-af72-38ef-3394	0
classify|v	instrument	sort kind|vp	0d00-93f4-5616-0efc	0
classify|v	instrument	sort type|vp	0d00-93f4-5616-0efc	0
classify|v	instrument	sort|v	0d00-93f4-5616-0efc	0
heal bone|vp	instrument	vitamin d|ns	11e0-b0f3-137d-951c	0
strengthen bone|vp	instrument	vitamin d|ns	11e0-b0f3-137d-951c	0
protect soil|vp	instrument	crop rotation|ns	123d-8a65-3831-3fa1	0
renew soil|vp	instrument	crop rotation|ns	123d-8a65-3831-3fa1	0
attract|v	agent	magnet|n	178a-9dd1-8569-86f1	0
attract|v	instrument	magnetism|n	178a-9dd1-8569-86f1	0
magnet|n	derivational morphology	magnetism|n	178a-9dd1-8569-86f1	0
magnet|n	has property	magnetic|j	178a-9dd1-8569-86f1	0
metal|n	has property	ferromagnetic|j	178a-9dd1-8569-86f1	0
metal|n	has property	magnetic|j	178a-9dd1-8569-86f1	0
protect|v	beneficiary	internal organ|ns	1910-6fcf-a49a-634a	0
protect|v	instrument	skeletal system|ns	1910-6fcf-a49a-634a	0
add heat|vp	causes	kill bacterium|vp	1966-99de-7765-39de	0
add heat|vp	causes	kill virus|vp	1966-99de-7765-39de	0
learn|v	agent	human|n	1975-c17f-560c-aa4c	0
learn|v	at location	school|n	1975-c17f-560c-aa4c	0
learn|v	patient	skill|n	1975-c17f-560c-aa4c	0
read|v	kind of	skill|n	1975-c17f-560c-aa4c	0
conserve natural resource|vp	kind of	conservation|n	1b2f-e95c-68f1-e31e	0
mouse birth|av	result	live young|jn	1d87-acba-1519-cd97	0
mouse give birth|av	result	live young|jn	1d87-acba-1519-cd97	0
disperse|v	agent	disperser|n	1f01-c949-a5e3-ab0c	0
reproduce|v	agent	animal|n	1fb7-aefd-cae4-eba8	0
animal|n	has property	aquatic|j	2125-ab14-605b-2b8c	0
aquatic|j	at location	water|n	2125-ab14-605b-2b8c	0
live|v	agent	animal|n	2125-ab14-605b-2b8c	0
live|v	agent	plant|n	2125-ab14-605b-2b8c	0
plant|n	has property	aquatic|j	2125-ab14-605b-2b8c	0
magnet attract|av	patient	magnetic|j	23a8-e177-f667-e30f	0
magnetic|j	antonym	nonmagnetic|j	23a8-e177-f667-e30f	0
taste|v	agent	animal|n	2475-8eec-dc25-695b	0
taste|v	patient	flavor|n	2475-8eec-dc25-695b	0
attract|v	agent	feeder|n	24ab-b403-fcec-d327	0
attract|v	patient	animal|n	24ab-b403-fcec-d327	0
seal give birth|av	at location	beach|n	24ac-6c7a-db37-64ad	0
absorb sound|vp	instrument	carpet|n	24ec-0ce6-3909-ccf6	0
lay egg|vp	agent	mosquito|n	255a-a3ea-7373-252b	0
