subj	rel	obj	id	flag
light bulb|ns	causes	light|n	0259-62d6-90d1-5285	0
light bulb|ns	has subcomponent	electrical energy|jn	0259-62d6-90d1-5285	0
switch on|v	patient	light bulb|ns	0259-62d6-90d1-5285	0
switch on|v	synonym	turn on|v	0259-62d6-90d1-5285	0
transpire|v	agent	water vapor|ns	03c0-59bd-bf14-aaa0	0
transpire|v	goal	atmosphere|n	03c0-59bd-bf14-aaa0	0
transpire|v	source	leaf|n	03c0-59bd-bf14-aaa0	0
transpire|v	source	plant|n	03c0-59bd-bf14-aaa0	0
photosynthesis|n	derivational morphology	photosynthesize|v	0962-4a47-4e17-ce97	0
photosynthesize|v	agent	green plant|jn	0962-4a47-4e17-ce97	0
photosynthesize|v	agent	producer|n	0962-4a47-4e17-ce97	0
photosynthesize|v	beneficiary	green plant|jn	0962-4a47-4e17-ce97	0
photosynthesize|v	instrument	carbon dioxide|ns	0962-4a47-4e17-ce97	0
photosynthesize|v	instrument	solar energy|jn	0962-4a47-4e17-ce97	0
photosynthesize|v	instrument	water|n	0962-4a47-4e17-ce97	0
photosynthesize|v	kind of	change|v	0962-4a47-4e17-ce97	0
photosynthesize|v	result	carbohydrate|n	0962-4a47-4e17-ce97	0
photosynthesize|v	result	food|n	0962-4a47-4e17-ce97	0
photosynthesize|v	result	oxygen|n	0962-4a47-4e17-ce97	0
ecological succession|jn	synonym	entire community change|av	0ff9-ee4f-fb1b-1627	0
car engine run|av	instrument	combust|v	144d-b049-cabe-6198	0
car engine run|av	instrument	gasoline|n	144d-b049-cabe-6198	0
car engine run|av	result	heat energy|ns	144d-b049-cabe-6198	0
car engine run|av	result	motion|n	144d-b049-cabe-6198	0
car engine run|av	result	move|v	144d-b049-cabe-6198	0
combust|v	derivational morphology	combustion|n	144d-b049-cabe-6198	0
animal become oil|avp	at location	sea bottom|ns	1661-ce4a-34f0-7409	0
animal become oil|avp	instrument	bury animal|vp	1661-ce4a-34f0-7409	0
animal become oil|avp	instrument	extreme heat|jn	1661-ce4a-34f0-7409	0
animal become oil|avp	instrument	extreme pressure|jn	1661-ce4a-34f0-7409	0
plant become oil|avp	at location	sea bottom|ns	1661-ce4a-34f0-7409	0
plant become oil|avp	instrument	bury plant|vp	1661-ce4a-34f0-7409	0
plant become oil|avp	instrument	extreme heat|jn	1661-ce4a-34f0-7409	0
plant become oil|avp	instrument	extreme pressure|jn	1661-ce4a-34f0-7409	0
sea bottom|ns	has subcomponent	mud|n	1661-ce4a-34f0-7409	0
sea bottom|ns	has subcomponent	soil|n	1661-ce4a-34f0-7409	0
tear|v	kind of	change|v	23d7-086d-e662-8fd4	0
tear|v	patient	whole|n	23d7-086d-e662-8fd4	0
tear|v	result	piece|n	23d7-086d-e662-8fd4	0
condense|v	instrument	remove heat|vp	2aba-39fa-3a07-5ee4	0
condense|v	kind of	change|v	2aba-39fa-3a07-5ee4	0
condense|v	patient	gas|n	2aba-39fa-3a07-5ee4	0
condense|v	result	liquid|n	2aba-39fa-3a07-5ee4	0
move seed|vp	synonym	seed dispersal|ns	2b90-a4f5-326a-d34f	0
plant|n	has subcomponent	seed|n	2b90-a4f5-326a-d34f	0
seed dispersal|ns	at location	environment|n	2b90-a4f5-326a-d34f	0
condense|v	agent	gas|n	2c44-c2fa-bff1-5946	0
condense|v	instrument	reduce heat energy|vp	2c44-c2fa-bff1-5946	0
condense|v	result	liquid|n	2c44-c2fa-bff1-5946	0
material|n	has subcomponent	sound speed|jn	35de-03a6-5a5e-50e6	0
glow|v	kind of	produce light|vp	3b85-dd90-794d-80b6	0
object cool|av	at location	cold place|jn	3feb-296d-6a76-286f	0
object cool|av	result	cold|j	3feb-296d-6a76-286f	0
break down|v	kind of	change|v	400d-d80d-09a3-3206	0
break down|v	patient	whole|n	400d-d80d-09a3-3206	0
break down|v	result	piece|n	400d-d80d-09a3-3206	0
swamp|n	has subcomponent	mud|n	43e2-442b-4572-2279	0
swamp|n	has subcomponent	soil|n	43e2-442b-4572-2279	0
vegetation become peat|avp	at location	swamp|n	43e2-442b-4572-2279	0
vegetation become peat|avp	instrument	bury vegetation|vp	43e2-442b-4572-2279	0
vegetation become peat|avp	instrument	extreme heat|jn	43e2-442b-4572-2279	0
vegetation become peat|avp	instrument	extreme pressure|jn	43e2-442b-4572-2279	0
move|v	instrument	stored energy|ns	48d9-21f5-7bf4-c99e	0
move|v	result	heat|n	48d9-21f5-7bf4-c99e	0
move|v	result	motion|n	48d9-21f5-7bf4-c99e	0
baby develop|av	result	adult|n	4bd2-ea7f-6dec-3c54	0
incandescent light bulb|ns	causes	heat|n	536f-f053-aca7-9bed	0
incandescent light bulb|ns	causes	light|n	536f-f053-aca7-9bed	0
incandescent light bulb|ns	has subcomponent	filament|n	536f-f053-aca7-9bed	0
incandescent light bulb|ns	kind of	light bulb|ns	536f-f053-aca7-9bed	0
light bulb|ns	has subcomponent	electricity|n	536f-f053-aca7-9bed	0
hunt|v	agent	human|n	54ee-e44b-06a1-c4cf	0
hunt|v	at location	wild|n	54ee-e44b-06a1-c4cf	0
hunt|v	instrument	kill animal|vp	54ee-e44b-06a1-c4cf	0
breathe|v	instrument	gill|n	571a-0a31-ad7b-e097	0
breathe|v	kind of	convert|v	571a-0a31-ad7b-e097	0
breathe|v	patient	oxygenated water|jn	571a-0a31-ad7b-e097	0
breathe|v	result	oxygenated blood|jn	571a-0a31-ad7b-e097	0
oxygenated|v	derivational morphology	oxygen|n	571a-0a31-ad7b-e097	0
crumple|v	instrument	physical force|jn	57f8-2232-d549-6dbc	0
crumple|v	kind of	change shape|vp	57f8-2232-d549-6dbc	0
crumple|v	patient	smooth object|jn	57f8-2232-d549-6dbc	0
crumple|v	result	compact|v	57f8-2232-d549-6dbc	0
crumple|v	result	irregular object|jn	57f8-2232-d549-6dbc	0
electrical device|jn	has subcomponent	electricity|n	5e4d-6ae2-e556-9200	0
