subj	rel	obj	id	flag
grow large|vp	agent	object|n	0672-8ba1-8bef-c7c2	0
grow large|vp	result	size increase|av	0672-8ba1-8bef-c7c2	0
object|n	has property	size|j	0672-8ba1-8bef-c7c2	0
electrical insulator|jn	has negative impact on	electricity|n	0ad2-d22e-525e-0038	0
flow|v	agent	electricity|n	0ad2-d22e-525e-0038	0
prevent flow|vp	instrument	electrical insulator|jn	0ad2-d22e-525e-0038	0
pasteurize|v	derivational morphology	pasteurization|n	0b35-65f7-11a2-d41e	0
pasteurize|v	has negative impact on	bacteria|n	0b35-65f7-11a2-d41e	0
pasteurize|v	patient	milk|n	0b35-65f7-11a2-d41e	0
pasteurize|v	result	less bacterium|qn	0b35-65f7-11a2-d41e	0
grow|v	agent	plant|n	15b7-2dad-aa86-409b	0
grow|v	has positive impact on	height|n	15b7-2dad-aa86-409b	0
grow|v	has positive impact on	mass|n	15b7-2dad-aa86-409b	0
grow|v	has positive impact on	size|n	15b7-2dad-aa86-409b	0
prevent|v	result	decrease|v	1653-a7fe-e9be-42ca	0
use raw material|vp	result	waste|n	1875-8ce4-1858-8652	0
glacier melt|av	result	water|n	19c9-47bf-de91-1f2e	0
ice melt|av	result	water|n	19c9-47bf-de91-1f2e	0
rain|v	result	water|n	19c9-47bf-de91-1f2e	0
snow melt|av	result	water|n	19c9-47bf-de91-1f2e	0
storm|n	causes	water|n	19c9-47bf-de91-1f2e	0
loose soil|jn	has subcomponent	oxygen|n	1ab8-7900-02c0-a2d6	0
less precipitation|qn	result	drought|n	2298-6f12-b46e-4f4e	0
precipitation|n	has positive impact on	drought|n	2298-6f12-b46e-4f4e	0
fall|v	result	move down|vp	2522-2f06-9dd6-6bf1	0
decompose|v	at location	soil|n	2fd8-2d03-ccfe-ca27	0
decompose|v	result	organic matter|ns	2fd8-2d03-ccfe-ca27	0
drought|n	at location	environment|n	3492-2519-a7cc-d552	0
drought|n	causes	less water|qn	3492-2519-a7cc-d552	0
climb|v	result	high|j	375c-f58a-32b0-42bf	0
high|j	similar to	altitude|n	375c-f58a-32b0-42bf	0
decompose|v	at location	soil|n	39b8-47a9-eee1-d2d4	0
decompose|v	result	nutrient|n	39b8-47a9-eee1-d2d4	0
decomposition|n	derivational morphology	decompose|v	39b8-47a9-eee1-d2d4	0
warm|v	instrument	heat|n	39ec-9974-829d-ba5e	0
warm|v	result	hot|j	39ec-9974-829d-ba5e	0
cool|v	result	cold|j	3a9b-81b5-1a3a-40a0	0
cool|v	result	decrease heat|vp	3a9b-81b5-1a3a-40a0	0
cool|v	result	decrease temperature|vp	3a9b-81b5-1a3a-40a0	0
grow|v	agent	animal|n	3c39-efea-ce7b-afa8	0
grow|v	has positive impact on	height|n	3c39-efea-ce7b-afa8	0
grow|v	has positive impact on	mass|n	3c39-efea-ce7b-afa8	0
grow|v	has positive impact on	size|n	3c39-efea-ce7b-afa8	0
condense|v	agent	gas|n	3e90-e3f3-440d-008e	0
condense|v	instrument	boiling point|ns	3e90-e3f3-440d-008e	0
cool gas|vp	result	condense|v	3e90-e3f3-440d-008e	0
pollute|v	goal	environment|n	4d82-5c75-1ac1-abdd	0
pollute|v	result	poison|n	4d82-5c75-1ac1-abdd	0
pollute|v	result	pollution|n	4d82-5c75-1ac1-abdd	0
use|v	result	decrease amount|vp	57c5-f27f-1d68-9a7a	0
erode soil|vp	instrument	animal|n	5e75-4bbb-dae0-311f	0
erode soil|vp	instrument	water|n	5e75-4bbb-dae0-311f	0
erode soil|vp	instrument	wind|n	5e75-4bbb-dae0-311f	0
erode soil|vp	result	less soil|qn	5e75-4bbb-dae0-311f	0
hide|v	instrument	camouflage|n	60e9-1f2b-145c-00bd	0
hide|v	instrument	reduce visibility|vp	60e9-1f2b-145c-00bd	0
shrink|v	result	decrease size|vp	628f-08c3-a230-9bfb	0
attract|v	result	move close|vp	6e2c-b252-430e-971b	0
bad weather|jn	has negative impact on	visibility|n	703d-4bda-4bbc-790e	0
store water|vp	at location	dry environment|jn	7626-ebfe-aa54-61db	0
store water|vp	beneficiary	organism|n	7626-ebfe-aa54-61db	0
shower|n	causes	steam|n	79a0-2fbc-edea-0d50	0
get|v	patient	object|n	7a74-426d-ec77-f296	0
get|v	result	increase|v	7a74-426d-ec77-f296	0
heat|v	has positive impact on	temperature|n	7afc-2bcd-13a5-2d35	0
heat|v	result	temperature increase|av	7afc-2bcd-13a5-2d35	0
carpool|v	derivational morphology	carpooling|n	7fce-27b1-e8ef-0b83	0
carpool|v	result	less car|qn	7fce-27b1-e8ef-0b83	0
planet pull|av	instrument	gravity|n	8025-2d3b-7ecb-0aff	0
animal|n	has subcomponent	fur|n	84a3-fb47-5416-db66	0
fur|n	causes	warm|j	84a3-fb47-5416-db66	0
fur|n	has property	thick|j	84a3-fb47-5416-db66	0
warm|j	antonym	cold|j	84a3-fb47-5416-db66	0
winter|n	has property	cold|j	84a3-fb47-5416-db66	0
destroy|v	result	reduce amount|vp	84bb-0231-2480-1c8b	0
dry|v	has negative impact on	water|n	85c8-f683-bc89-7bc5	0
dry|v	result	less liquid|qn	85c8-f683-bc89-7bc5	0
dry|v	result	less water|qn	85c8-f683-bc89-7bc5	0
dry|v	result	less wet|qn	85c8-f683-bc89-7bc5	0
grow|v	result	increase number|vp	8a51-fb44-d9d2-73ae	0
grow|v	result	increase size|vp	8a51-fb44-d9d2-73ae	0
grow|v	result	increase strength|vp	8a51-fb44-d9d2-73ae	0
grow|v	result	increase value|vp	8a51-fb44-d9d2-73ae	0
heat solid|vp	result	melt|v	8cbb-8bf8-bfbd-681e	0
melt|v	agent	solid|n	8cbb-8bf8-bfbd-681e	0
melt|v	instrument	heat|n	8cbb-8bf8-bfbd-681e	0
melt|v	instrument	melting point|ns	8cbb-8bf8-bfbd-681e	0
