subj	rel	obj	id	flag
Swaziland|n	at location	southern hemisphere|jn	003e-bda2-e641-6ca8	0
Maldives|n	at location	northern hemisphere|jn	00f3-2cc5-61ec-0823	0
Suriname|n	at location	southern hemisphere|jn	01aa-b559-a83e-2f7b	0
Sweden|n	at location	northern hemisphere|jn	0232-02a1-3a57-ee83	0
Saba (Netherlands)|ns	at location	northern hemisphere|jn	0558-47ee-7a80-1c74	0
Saba (Netherlands)|ns	structural-noun-compound	Netherlands|n	0558-47ee-7a80-1c74	0
Saba (Netherlands)|ns	structural-noun-compound	Saba|n	0558-47ee-7a80-1c74	0
Kazakhstan|n	at location	northern hemisphere|jn	0655-cb89-f12d-3c8f	0
Italy|n	at location	northern hemisphere|jn	0689-80be-1b3f-2b37	0
Oman|n	at location	northern hemisphere|jn	06e8-012e-e8fc-291f	0
Turks and Caicos Islands (UK)|ns	at location	northern hemisphere|jn	0872-9182-486c-912c	0
Turks and Caicos Islands (UK)|ns	structural-noun-compound	Caicos|n	0872-9182-486c-912c	0
Turks and Caicos Islands (UK)|ns	structural-noun-compound	Islands|n	0872-9182-486c-912c	0
Turks and Caicos Islands (UK)|ns	structural-noun-compound	Turks|n	0872-9182-486c-912c	0
Turks and Caicos Islands (UK)|ns	structural-noun-compound	UK|n	0872-9182-486c-912c	0
Uganda|n	at location	equator|n	09fa-fb3c-33f0-af31	0
Egypt|n	at location	southern hemisphere|jn	0bc5-e416-87f9-8adc	0
São Tomé and Príncipe|ns	at location	equator|n	0be4-7c5b-efc7-7f30	0
São Tomé and Príncipe|ns	structural-noun-compound	Príncipe|n	0be4-7c5b-efc7-7f30	0
São Tomé and Príncipe|ns	structural-noun-compound	São|n	0be4-7c5b-efc7-7f30	0
São Tomé and Príncipe|ns	structural-noun-compound	Tomé|n	0be4-7c5b-efc7-7f30	0
Canada|n	at location	northern hemisphere|jn	0c34-a584-c8b8-b8c2	0
Bouvet Island (Norway)|ns	at location	southern hemisphere|jn	0cbb-d010-32e7-9c68	0
Bouvet Island (Norway)|ns	structural-noun-compound	Bouvet|n	0cbb-d010-32e7-9c68	0
Bouvet Island (Norway)|ns	structural-noun-compound	Island|n	0cbb-d010-32e7-9c68	0
Bouvet Island (Norway)|ns	structural-noun-compound	Norway|n	0cbb-d010-32e7-9c68	0
Russia|n	at location	northern hemisphere|jn	0dfb-50cf-068e-bbfc	0
Tunisia|n	at location	southern hemisphere|jn	0f7c-2e77-a9d4-cce4	0
Samoa|n	at location	southern hemisphere|jn	10a4-f87c-a7ab-cbbe	0
Czech Republic|ns	at location	northern hemisphere|jn	10d9-392d-68ee-15bc	0
Czech Republic|ns	structural-noun-compound	Czech|n	10d9-392d-68ee-15bc	0
Czech Republic|ns	structural-noun-compound	Republic|n	10d9-392d-68ee-15bc	0
Jamaica|n	at location	northern hemisphere|jn	11c9-d4cb-af56-67b6	0
Luxembourg|n	at location	northern hemisphere|jn	11db-6f6a-7a2b-fa4d	0
Sint Eustatius (Netherlands)|ns	at location	northern hemisphere|jn	120e-7765-8dfd-f88f	0
Sint Eustatius (Netherlands)|ns	structural-noun-compound	Eustatius|n	120e-7765-8dfd-f88f	0
Sint Eustatius (Netherlands)|ns	structural-noun-compound	Netherlands|n	120e-7765-8dfd-f88f	0
Sint Eustatius (Netherlands)|ns	structural-noun-compound	Sint|n	120e-7765-8dfd-f88f	0
Djibouti|n	at location	southern hemisphere|jn	1271-3c32-e4d1-df32	0
Austria|n	at location	northern hemisphere|jn	139d-503b-5124-ceec	0
Saint Lucia|ns	at location	northern hemisphere|jn	141d-d958-123f-ab76	0
Saint Lucia|ns	structural-noun-compound	Lucia|n	141d-d958-123f-ab76	0
Saint Lucia|ns	structural-noun-compound	Saint|n	141d-d958-123f-ab76	0
Azerbaijan|n	at location	northern hemisphere|jn	1431-3149-3ef5-1f90	0
British Virgin Islands (UK)|ns	at location	northern hemisphere|jn	14f2-5165-870b-3446	0
British Virgin Islands (UK)|ns	structural-noun-compound	British|n	14f2-5165-870b-3446	0
British Virgin Islands (UK)|ns	structural-noun-compound	Islands|n	14f2-5165-870b-3446	0
British Virgin Islands (UK)|ns	structural-noun-compound	UK|n	14f2-5165-870b-3446	0
British Virgin Islands (UK)|ns	structural-noun-compound	Virgin|n	14f2-5165-870b-3446	0
Tanzania|n	at location	southern hemisphere|jn	14f3-33fa-afac-7592	0
El Salvador|ns	at location	northern hemisphere|jn	15b2-4719-7825-ad6f	0
El Salvador|ns	structural-noun-compound	El|n	15b2-4719-7825-ad6f	0
El Salvador|ns	structural-noun-compound	Salvador|n	15b2-4719-7825-ad6f	0
Rwanda|n	at location	southern hemisphere|jn	165c-7320-3092-1324	0
Slovenia|n	at location	northern hemisphere|jn	1852-63df-4e71-e20d	0
Wallis and Futuna (France)|ns	at location	southern hemisphere|jn	1876-8882-9566-70d4	0
Wallis and Futuna (France)|ns	structural-noun-compound	France|n	1876-8882-9566-70d4	0
Wallis and Futuna (France)|ns	structural-noun-compound	Futuna|n	1876-8882-9566-70d4	0
Wallis and Futuna (France)|ns	structural-noun-compound	Wallis|n	1876-8882-9566-70d4	0
Netherlands|n	at location	northern hemisphere|jn	1965-0e5b-985a-5cc6	0
Bonaire (Netherlands)|ns	at location	northern hemisphere|jn	1be8-6060-4065-9a9c	0
Bonaire (Netherlands)|ns	structural-noun-compound	Bonaire|n	1be8-6060-4065-9a9c	0
Bonaire (Netherlands)|ns	structural-noun-compound	Netherlands|n	1be8-6060-4065-9a9c	0
South Africa|ns	at location	southern hemisphere|jn	1bef-7a17-74d4-e795	0
South Africa|ns	structural-noun-compound	Africa|n	1bef-7a17-74d4-e795	0
South Africa|ns	structural-noun-compound	South|n	1bef-7a17-74d4-e795	0
