subj	rel	obj	id	flag
making	derivational morphology	make		3
preserved	derivational morphology	preserve		3
lost	derivational morphology	lose|v		3
conducting	derivational morphology	conduct		3
caused|v	derivational morphology	cause		3
weathering|v	derivational morphology	weather		3
spoiled	derivational morphology	spoil		3
flying	derivational morphology	fly		3
used	derivational morphology	use		3
stored|v	derivational morphology	store		3
testing	derivational morphology	test		3
pounds	derivational morphology	pound		3
digestive	derivational morphology	digest		3
farming	derivational morphology	farm		3
mining	derivational morphology	mine		3
cows	derivational morphology	cow		3
appearance|n	derivational morphology	appear|v		3
toasting	derivational morphology	toast		3
dryer	derivational morphology	dry		3
reproducing|v	derivational morphology	reproduce|v		3
colored	derivational morphology	color		3
vibration|n	derivational morphology	vibrate|v		3
shivering	derivational morphology	shiver		3
plants	derivational morphology	plant		3
reducing	derivational morphology	reduce|v		3
specialized	derivational morphology	specialize|v		3
sides	derivational morphology	side		3
baked	derivational morphology	bake|v		3
conductor|n	derivational morphology	conduct		3
creating|v	derivational morphology	create|v		3
poles	derivational morphology	pole		3
decaying|v	derivational morphology	decay		3
running	derivational morphology	run		3
panting	derivational morphology	pant		3
speaking	derivational morphology	speak|v		3
bones	derivational morphology	bone		3
sinking	derivational morphology	sink		3
polluted	derivational morphology	pollute|v		3
broken	derivational morphology	break		3
pollinating|v	derivational morphology	pollinate|v		3
screws	derivational morphology	screw		3
snowing|v	derivational morphology	snow		3
variable	derivational morphology	vary|v		3
inherited	derivational morphology	inherit|v		3
staying|v	derivational morphology	stay		3
riding	derivational morphology	rid|v		3
smoking	derivational morphology	smoke		3
pushing	derivational morphology	push		3
metals	derivational morphology	metal		3
melting	derivational morphology	melt		3
raising	derivational morphology	raise		3
destroyed	derivational morphology	destroy|v		3
webbed	derivational morphology	web		3
powdered	derivational morphology	powder		3
respiratory|j	derivational morphology	respire|v		3
feathers	derivational morphology	feather		3
hawks	derivational morphology	hawk		3
eagles	derivational morphology	eagle		3
drier	derivational morphology	dry		3
bees	derivational morphology	be		3
respiration|n	derivational morphology	respire|v		3
waving	derivational morphology	wave		3
tracks	derivational morphology	track		3
learned	derivational morphology	learn|v		3
muscles	derivational morphology	muscle		3
taken	derivational morphology	take		3
revolving|v	derivational morphology	revolve|v		3
blending	derivational morphology	blend		3
excretory|j	derivational morphology	excrete|v		3
weathered	derivational morphology	weather		3
rolling	derivational morphology	roll		3
freezing	derivational morphology	freeze		3
producer|n	derivational morphology	produce		3
oxygenated|v	derivational morphology	oxygenate|v		3
protected	derivational morphology	protect|v		3
hiding	derivational morphology	hide		3
stars	derivational morphology	star		3
property|n	derivational morphology	place		3
seconds	derivational morphology	second		3
boiling	derivational morphology	boil		3
made	derivational morphology	make		3
goggles	derivational morphology	goggle|v		3
limited	derivational morphology	limit		3
catching	derivational morphology	catch		3
container|n	derivational morphology	contain|v		3
cooking	derivational morphology	cook		3
bears	derivational morphology	bear		3
fishing	derivational morphology	fish		3
living	derivational morphology	live		3
loosen|v	derivational morphology	loose		3
swimming	derivational morphology	swim		3
flowing	derivational morphology	flow		3
rabbits	derivational morphology	rabbit		3
spots	derivational morphology	spot		3
affecting	derivational morphology	affect		3
exercising	derivational morphology	exercise		3
forces	derivational morphology	force		3
pollinator|n	derivational morphology	pollinate|v		3
skidding|v	derivational morphology	skid		3
reading	derivational morphology	read		3
insulated|v	derivational morphology	insulate|v		3
moving	derivational morphology	move		3
rising	derivational morphology	rise		3
sunlight|n	derivational morphology	sun		3
properties|n	derivational morphology	place		3
enhanced	derivational morphology	enhance|v		3
flooding	derivational morphology	flood		3
lasting	derivational morphology	last		3
turtles	derivational morphology	turtle		3
roots	derivational morphology	root		3
gone	derivational morphology	go		3
seeds	derivational morphology	seed		3
nails	derivational morphology	nail		3
hailing|v	derivational morphology	hail		3
changing	derivational morphology	change		3
mixed	derivational morphology	mix		3
snakes	derivational morphology	snake		3
pouring	derivational morphology	pour|v		3
logging	derivational morphology	log		3
branches	derivational morphology	branch		3
developing	derivational morphology	develop|v		3
household|n	derivational morphology	home		3
walls	derivational morphology	wall		3
getting	derivational morphology	get		3
controlling	derivational morphology	control		3
nerves	derivational morphology	nerve		3
lowering	derivational morphology	lower		3
receiving|v	derivational morphology	receive|v		3
leaving	derivational morphology	leave		3
scavenger|n	derivational morphology	scavenge|v		3
pulling	derivational morphology	pull		3
rotting	derivational morphology	rot		3
reduced	derivational morphology	reduce|v		3
formed	derivational morphology	form		3
reproductive|j	derivational morphology	reproduce|v		3
counter	derivational morphology	count		3
decreasing	derivational morphology	decrease		3
forests	derivational morphology	forest		3
colors	derivational morphology	color		3
surfaces	derivational morphology	surface		3
kits	derivational morphology	kit		3
contains|v	derivational morphology	contain|v		3
seasons	derivational morphology	season		3
consumer|n	derivational morphology	consume|v		3
lots	derivational morphology	lot		3
clouds	derivational morphology	cloud		3
roller|n	derivational morphology	roll		3
frying	derivational morphology	fry		3
metamorphosed|v	derivational morphology	metamorphose|v		3
poisoning	derivational morphology	poison		3
falling	derivational morphology	fall		3
protecting	derivational morphology	protect|v		3
producing|v	derivational morphology	produce		3
product|n	derivational morphology	produce		3
feeling	derivational morphology	feel		3
trees	derivational morphology	tree		3
objects	derivational morphology	object		3
affected	derivational morphology	affect		3
seeing	derivational morphology	see		3
setting	derivational morphology	set		3
levers	derivational morphology	lever		3
contents	derivational morphology	content		3
freckles	derivational morphology	freckle		3
rocks	derivational morphology	rock		3
eyes	derivational morphology	eye		3
houses	derivational morphology	house		3
pollutions|n	derivational morphology	pollute|v		3
assembling	derivational morphology	assemble|v		3
eating	derivational morphology	eat|v		3
scaled	derivational morphology	scale		3
scales	derivational morphology	scale		3
wheeled	derivational morphology	wheel		3
radiation|n	derivational morphology	radiate		3
observing	derivational morphology	observe|v		3
pasteur|n	derivational morphology	pasteurize|v		3
returning	derivational morphology	return		3
sleeping	derivational morphology	sleep		3
born	derivational morphology	bear		3
crops	derivational morphology	crop		3
insulator|n	derivational morphology	insulate|v		3
life|n	derivational morphology	live		3
alligators	derivational morphology	alligator		3
polluting|v	derivational morphology	pollute|v		3
tearing	derivational morphology	tear		3
causing	derivational morphology	cause		3
reflective|j	derivational morphology	reflect|v		3
nuts	derivational morphology	nut		3
cooling	derivational morphology	cool		3
hares	derivational morphology	hare		3
closer	derivational morphology	close		3
building	derivational morphology	build		3
detector|n	derivational morphology	detect|v		3
putting	derivational morphology	put		3
berries	derivational morphology	berry		3
condensing	derivational morphology	condense|v		3
closed	derivational morphology	close		3
meters	derivational morphology	meter		3
decomposing|v	derivational morphology	decompose|v		3
absorbing	derivational morphology	absorb|v		3
adaptive|j	derivational morphology	adapt|v		3
protective|j	derivational morphology	protect|v		3
ringing	derivational morphology	ring		3
waxing	derivational morphology	wax		3
drinking	derivational morphology	drink		3
reaction|n	derivational morphology	react|v		3
destructive|j	derivational morphology	destroy|v		3
housing	derivational morphology	house		3
action	derivational morphology	act		3
pollution|n	derivational morphology	pollute|v		3
flowers	derivational morphology	flower		3
rounder	derivational morphology	round		3
conditions	derivational morphology	condition		3
user|n	derivational morphology	use		3
growing	derivational morphology	grow|v		3
fields	derivational morphology	field		3
magnifying|v	derivational morphology	magnify|v		3
instruments	derivational morphology	instrument		3
finding	derivational morphology	find		3
cups	derivational morphology	cup		3
bags	derivational morphology	bag		3
required	derivational morphology	require|v		3
breathing	derivational morphology	breathe|v		3
blossoms	derivational morphology	blossom		3
crickets	derivational morphology	cricket		3
writing	derivational morphology	write|v		3
waves	derivational morphology	wave		3
frogs	derivational morphology	frog		3
shaking	derivational morphology	shake		3
varying	derivational morphology	vary|v		3
depending|v	derivational morphology	depend|v		3
wiper|n	derivational morphology	wipe		3
drying|v	derivational morphology	dry		3
measuring	derivational morphology	measure		3
touching	derivational morphology	touch		3
parents	derivational morphology	parent		3
driving	derivational morphology	drive		3
dissolved	derivational morphology	dissolve		3
gases	derivational morphology	gas		3
changed	derivational morphology	change		3
dependent	derivational morphology	depend|v		3
spices	derivational morphology	spice		3
birds	derivational morphology	bird		3
wheels	derivational morphology	wheel		3
hunting	derivational morphology	hunt		3
baking	derivational morphology	bake|v		3
remains	derivational morphology	remain|v		3
floating	derivational morphology	float		3
recycling	derivational morphology	recycle|v		3
