subj	rel	obj	id	flag
rain|n	kind of	stormy weather|jn	0157-8650-437a-4faa	0
camouflage|v	instrument	change color|vp	0a51-236d-27b4-abc4	0
reuse|v	result	avoid waste|vp	14dd-cb36-7a17-38fa	0
avoid fossil fuel|vp	kind of	conservation|n	1c25-34e6-67f5-e7a6	0
strum guitar|vp	kind of	play musical instrument|vp	1d01-8937-52ac-d9af	0
hibernate|v	agent	frog|n	24a1-6da8-dc81-accd	0
hibernate|v	instrument	mud|n	24a1-6da8-dc81-accd	0
store item|vp	kind of	prepare|v	267f-c271-3ae7-09ae	0
bird fly south|avp	kind of	migrate|v	2ad2-04a7-e3e7-916a	0
migration|n	derivational morphology	migrate|v	2ad2-04a7-e3e7-916a	0
drink milk|vp	kind of	instinct|n	2be3-eb61-1441-7846	0
kangaroo drink milk|avp	at location	kangaroo pouch|ns	2be3-eb61-1441-7846	0
kangaroo drink milk|avp	kind of	instinct|n	2be3-eb61-1441-7846	0
kangaroo|n	has subcomponent	pouch|n	2be3-eb61-1441-7846	0
salt and pepper|ns	has subcomponent	pepper|n	2f3a-a260-7230-3c07	0
salt and pepper|ns	has subcomponent	salt|n	2f3a-a260-7230-3c07	0
salt and pepper|ns	kind of	mixture|n	2f3a-a260-7230-3c07	0
ocean become forest|avp	kind of	earth change|av	3135-2d8c-c018-d7a3	0
avoid waste|vp	kind of	conservation|n	393b-f9b6-0519-c483	0
conservation|n	derivational morphology	conserve|v	393b-f9b6-0519-c483	0
camouflage|v	result	resemble environment|vp	3a90-a5a3-dc27-ca09	0
plant|n	kind of	alternative fuel|jn	3b34-899d-3adf-7bcb	0
disperse seed|vp	instrument	animal eat seed|avp	3e4c-9c36-623e-f00e	0
disperse seed|vp	instrument	animal excrete seed|avp	3e4c-9c36-623e-f00e	0
moving object|jn	has property	mechanical energy|jn	4aca-cf16-fcc6-1f79	0
open clam|vp	agent	otter|n	4ba7-d894-3b98-2b11	0
open clam|vp	instrument	rock|n	4ba7-d894-3b98-2b11	0
open clam|vp	kind of	hunt|v	4ba7-d894-3b98-2b11	0
observe|v	result	scientific evidence|ns	5075-0322-1096-f7e0	0
reuse object|vp	kind of	recycle|v	5b81-70c7-64a4-f7d2	0
instinctive behaviour|jn	synonym	instinct|n	5c37-d156-8278-962c	0
peck shell|vp	agent	baby bird|jn	5c37-d156-8278-962c	0
peck shell|vp	kind of	instinct|n	5c37-d156-8278-962c	0
peck shell|vp	result	hatch|v	5c37-d156-8278-962c	0
pour|v	result	combine substance|vp	6526-d3de-375a-2661	0
conservation|n	derivational morphology	conserve|v	661c-7af5-8c9a-80e9	0
turn off tap|vp	kind of	conservation|n	661c-7af5-8c9a-80e9	0
replace natural resource|vp	instrument	plant tree|vp	689c-8e64-fe48-c90e	0
vinegar water|ns	has subcomponent	vinegar|n	6d51-d6e6-4789-d0b9	0
vinegar water|ns	has subcomponent	water|n	6d51-d6e6-4789-d0b9	0
vinegar water|ns	kind of	solution|n	6d51-d6e6-4789-d0b9	0
disperse seed|vp	instrument	animal bury seed|avp	7119-02f2-0acf-3280	0
disperse seed|vp	instrument	animal gather seed|avp	7119-02f2-0acf-3280	0
disperse seed|vp	instrument	animal hide seed|avp	7119-02f2-0acf-3280	0
protect environment|vp	instrument	protected area|jn	770d-6c83-0ecd-3e9f	0
grow fur|vp	agent	animal|n	7adb-e986-7c30-64d9	0
grow fur|vp	kind of	seasonal change|jn	7adb-e986-7c30-64d9	0
grow fur|vp	result	warmth|n	7adb-e986-7c30-64d9	0
keep warm|vj	instrument	fur|n	7adb-e986-7c30-64d9	0
oil and water|ns	has subcomponent	oil|n	8622-9e03-2724-60f7	0
oil and water|ns	kind of	suspension|n	8622-9e03-2724-60f7	0
oil and water|ns	structural-noun-compound	oil|n	8622-9e03-2724-60f7	0
oil and water|ns	structural-noun-compound	water|n	8622-9e03-2724-60f7	0
oil mixed with water|ns	has subcomponent	water|n	8622-9e03-2724-60f7	0
camel hump|ns	kind of	adaptation|n	875c-ebc8-05a0-0a18	0
paw print|ns	kind of	fossil|n	8867-690e-1dfa-c7b4	0
maintain number|vp	instrument	replace|v	8b1d-776b-ee60-6646	0
manage number|vp	instrument	replace|v	8b1d-776b-ee60-6646	0
footprint|n	kind of	fossil|n	8c6a-e1d6-dbe5-e366	0
weather|v	at location	rock crack|ns	9066-bf57-f1ce-0134	0
weather|v	instrument	plant root|ns	9066-bf57-f1ce-0134	0
clay|n	kind of	material|n	90f7-2aac-1033-925c	0
