subj	rel	obj	id	flag
sunflower|n	kind of	plant|n	000b-8380-fb97-aee5	0
laboratory apron|ns	kind of	safety gear|ns	0025-3e37-acf0-467a	0
laboratory coat|ns	at location	experiment|n	0025-3e37-acf0-467a	0
laboratory coat|ns	beneficiary	person|n	0025-3e37-acf0-467a	0
laboratory coat|ns	synonym	laboratory apron|ns	0025-3e37-acf0-467a	0
protection|n	derivational morphology	protect|v	0025-3e37-acf0-467a	0
protect|v	instrument	laboratory coat|ns	0025-3e37-acf0-467a	0
creating|n	kind of	activity|n	0092-b671-2f6c-9726	0
light bulb|ns	kind of	electrical device|jn	00a4-b16a-aa4d-893d	0
apple tree|ns	kind of	plant|n	00a7-56fc-3c22-e6f2	0
eraser|n	kind of	solid|n	0164-3d03-ab81-9b9a	0
chick|n	kind of	baby chicken|jn	01a2-8e37-b59a-23e3	0
chick|n	kind of	young chicken|jn	01a2-8e37-b59a-23e3	0
excrete|v	derivational morphology	excretion|n	023e-be5e-200d-d253	0
excretory system|jn	kind of	body system|ns	023e-be5e-200d-d253	0
excretory|j	derivational morphology	excrete|v	023e-be5e-200d-d253	0
excretory|j	derivational morphology	excretion|n	023e-be5e-200d-d253	0
oak|n	kind of	tree|n	02a0-8f5c-4e3a-a064	0
ear|n	kind of	body part|ns	02a9-6ebd-741c-ddf1	0
cooking|n	derivational morphology	cook|v	02bb-bdf2-f936-d557	0
cooking|n	kind of	skill|n	02bb-bdf2-f936-d557	0
cook|v	patient	food|n	02bb-bdf2-f936-d557	0
cook|v	result	food|n	02bb-bdf2-f936-d557	0
prepare|v	patient	food|n	02bb-bdf2-f936-d557	0
tire|n	kind of	object|n	02c9-a481-d0f4-91e2	0
revolve|v	kind of	motion|n	02f7-3d00-6d43-0289	0
revolving|v	derivational morphology	revolve|v	02f7-3d00-6d43-0289	0
tree|n	kind of	matter|n	0340-14ae-a023-ac50	0
state|n	kind of	place|n	034e-5eb5-eaf7-aab7	0
damage|n	derivational morphology	damage|v	03cf-92e2-59ae-3b3a	0
tearing|n	derivational morphology	tear|v	03cf-92e2-59ae-3b3a	0
tear|v	kind of	damage|v	03cf-92e2-59ae-3b3a	0
swim|v	kind of	skill|n	03de-d7d0-b5a6-e027	0
energy source|ns	kind of	resource|n	044f-98c1-07d1-2e57	0
pushing|n	derivational morphology	push|v	044f-aca4-3be4-bb64	0
push|v	kind of	motion|n	044f-aca4-3be4-bb64	0
tunnel|n	kind of	hole|n	0456-0148-2518-a48e	0
crab|n	kind of	water animal|ns	0499-a475-56c4-8d43	0
fiber|n	kind of	material|n	04a7-76c0-16a3-fbb0	0
earth|n	has subcomponent	hemisphere|n	0527-8a98-eb69-f5e6	0
eastern hemisphere|jn	kind of	hemisphere|n	0527-8a98-eb69-f5e6	0
mussel|n	kind of	water animal|ns	0560-dd88-068a-fc05	0
full moon|jn	kind of	moon phase|ns	061d-1ec6-4a7a-9f63	0
sliding|n	kind of	motion|n	064c-b643-8110-0d09	0
soft|n	kind of	hardness|n	0654-00a0-45fb-b306	0
plant|v	agent	human|n	06da-24f1-4d68-fccc	0
plant|v	kind of	action|n	06da-24f1-4d68-fccc	0
humidity|n	kind of	water vapor|ns	06e7-3920-6321-983c	0
dew|n	kind of	liquid|n	06f4-8004-6e6f-4eab	0
continent|n	kind of	large land mass|jn	070a-2fde-af8a-62a6	0
igneous|n	kind of	rock|n	075f-d7cb-993c-ade1	0
schoolyard|n	kind of	place|n	078d-8864-7f8d-5b5a	0
shelter|n	kind of	protective covering|jn	07ae-5b5d-6e83-d86a	0
electricity|n	at location	wire|n	07e7-551b-7ffc-6aa5	0
wire|n	kind of	path|n	07e7-551b-7ffc-6aa5	0
plain|n	kind of	landform|n	089e-dcd5-b124-189c	0
bread|n	kind of	food|n	08c1-496e-6ad5-5c13	0
leaf|n	kind of	object|n	08e0-810a-daa2-5a48	0
plant|n	kind of	resource|n	091e-de33-5241-07bb	0
shape|n	kind of	physical property|jn	095a-404f-6149-222c	0
stove|n	kind of	machine|n	0963-6254-d160-4097	0
downward|n	kind of	direction|n	098d-fb47-d982-7a36	0
duration|n	kind of	time|n	09c7-65ed-43a7-93c0	0
measure time|vp	result	duration|n	09c7-65ed-43a7-93c0	0
minute|n	kind of	duration|n	09c7-65ed-43a7-93c0	0
United States|ns	kind of	country|n	0a04-e1b0-44ed-652d	0
pollute|v	kind of	activity|n	0a09-b3f6-9229-9511	0
polluting|v	derivational morphology	pollute|v	0a09-b3f6-9229-9511	0
ounce|n	kind of	mass|n	0a48-259f-8e93-894c	0
ounce|n	kind of	unit|n	0a48-259f-8e93-894c	0
skunk|n	kind of	animal|n	0a95-0ed2-b881-a7ef	0
measure earthquake|vp	instrument	seismograph|n	0ad1-f529-32a2-a01d	0
distance|n	kind of	unit|n	0b1f-b391-f485-1e6a	0
distance|n	similar to	length|n	0b1f-b391-f485-1e6a	0
mile|n	kind of	distance|n	0b1f-b391-f485-1e6a	0
air|n	kind of	matter|n	0b2c-f8af-7823-d253	0
amphibian|n	kind of	vertebrate|n	0b44-0582-f4ba-58c2	0
migration|n	kind of	adaptation|n	0b85-1757-0b30-a8a2	0
fish|n	kind of	animal|n	0bc0-31f6-513b-ff06	0
arch|n	kind of	land formation|ns	0c28-b3cd-bb77-d385	0
stick|n	kind of	object|n	0c4f-43da-c106-3620	0
last quarter|jn	kind of	moon phase|ns	0cac-60e6-ae3d-50ec	0
mold|n	kind of	fungus|n	0d28-3295-e473-c310	0
berry|n	kind of	fruit|n	0d28-7059-bcd4-0859	0
ability|n	instance of	trait|n	0d2a-34ad-e231-a167	0
grow|v	kind of	ability|n	0d2a-34ad-e231-a167	0
predator|n	has negative impact on	prey|n	0d35-1653-d1f5-29f2	0
predator|n	kind of	enemy|n	0d35-1653-d1f5-29f2	0
tree|n	kind of	plant|n	0d3a-8739-9f42-5e1c	0
century|n	instance of	time|n	0d3e-321a-b845-8dd9	0
century|n	kind of	duration|n	0d3e-321a-b845-8dd9	0
century|n	kind of	unit|n	0d3e-321a-b845-8dd9	0
duration|n	instance of	time|n	0d3e-321a-b845-8dd9	0
set|v	derivational morphology	setting|n	0da9-2984-f126-bcad	0
set|v	kind of	motion|n	0da9-2984-f126-bcad	0
bad reaction|jn	kind of	problem|n	0de5-48b7-1fb5-acbb	0
mountain|n	kind of	landform|n	0e02-5e2b-3793-96d3	0
slate|n	kind of	metamorphic rock|jn	0fc7-bb62-bc30-e3fd	0
nervous system|ns	kind of	body system|ns	0fda-acea-84f6-b616	0
absorb sunlight|vp	instrument	leaf|n	0fef-e04d-dcf6-d43a	0
large leaf|jn	kind of	adaptation|n	0fef-e04d-dcf6-d43a	0
rose|n	kind of	flower|n	0ffa-d415-c252-1fbb	0
wagon|n	kind of	vehicle|n	1022-5edd-48da-fd5a	0
orange|n	kind of	color|n	103a-3db0-f4b2-d7a7	0
coastal area|jn	kind of	environment|n	1065-849d-5c96-0863	0
electric toothbrush|jn	kind of	electric device|jn	106a-0379-0b23-ab7d	0
