subj	rel	obj	id	flag
1 month|qn	instance of	duration|n	037d-b751-5b3d-b62d	0
1 month|qn	structural-noun	month|n	037d-b751-5b3d-b62d	0
1 month|qn	structural-quantifier	1|#	037d-b751-5b3d-b62d	0
butterfly lifespan|ns	instance of	lifespan|n	037d-b751-5b3d-b62d	0
butterfly lifespan|ns	synonym	1 month|qn	037d-b751-5b3d-b62d	0
butterfly|n	has property	butterfly lifespan|ns	037d-b751-5b3d-b62d	0
100 year|qn	instance of	duration|n	502e-4e54-77c0-d35a	0
100 year|qn	structural-noun	year|n	502e-4e54-77c0-d35a	0
100 year|qn	structural-quantifier	100|#	502e-4e54-77c0-d35a	0
tree lifespan|ns	instance of	lifespan|n	502e-4e54-77c0-d35a	0
tree lifespan|ns	synonym	100 year|qn	502e-4e54-77c0-d35a	0
tree|n	has property	tree lifespan|ns	502e-4e54-77c0-d35a	0
