subj	rel	obj	id	flag
sedimentary rock|jn	has subcomponent	small particle|jn	07cd-40e2-cfed-90ab	0
sedimentary rock|jn	kind of	rock|n	07cd-40e2-cfed-90ab	0
mountain|n	has subcomponent	rock|n	08ba-3817-d41e-1db2	0
mountain|n	has subcomponent	soil|n	08ba-3817-d41e-1db2	0
alloy|n	has subcomponent	metal|n	0e62-579f-977d-4046	0
complex machine|jn	has subcomponent	simple machine|jn	1127-1d6b-54d0-d6ec	0
magnet|n	has subcomponent	ferromagnetic metals|jn	1389-2bb5-b15b-83a7	0
magnet|n	has subcomponent	magnetic metals|jn	1389-2bb5-b15b-83a7	0
spoon|n	has subcomponent	metal|n	13cc-db5a-cd32-130d	0
sandpaper|n	kind of	paper|n	15aa-4b8f-b148-a827	0
sandpaper|n	has subcomponent	sand|n	15aa-4b8f-b148-a827	0
material|n	has subcomponent	atom|n	1758-a1b7-4083-9e99	0
material|n	has subcomponent	particle|n	1758-a1b7-4083-9e99	0
matter|n	has subcomponent	atom|n	1758-a1b7-4083-9e99	0
matter|n	has subcomponent	particle|n	1758-a1b7-4083-9e99	0
substance|n	has subcomponent	atom|n	1758-a1b7-4083-9e99	0
substance|n	has subcomponent	particle|n	1758-a1b7-4083-9e99	0
soil|n	has subcomponent	small mineral|jn	17a3-86be-a2ea-bdb8	0
soil|n	has subcomponent	small rock|jn	17a3-86be-a2ea-bdb8	0
skeletal system|ns	has subcomponent	bone|n	1868-9bad-b9cc-1302	0
78% nitrogen|ns	structural-noun	nitrogen|n	18df-4496-f1cf-d9b1	0
78% nitrogen|qn	structural-noun	nitrogen|n	18df-4496-f1cf-d9b1	0
78% nitrogen|ns	structural-quantifier	78|q	18df-4496-f1cf-d9b1	0
78% nitrogen|qn	structural-quantifier	78|q	18df-4496-f1cf-d9b1	0
atmosphere|n	has subcomponent	78% nitrogen|ns	18df-4496-f1cf-d9b1	0
odor|n	has subcomponent	little gas|qn	1baf-ecbe-1359-5aed	0
living things|jn	has subcomponent	cell|n	1e00-1b04-66ee-0a91	0
