subj	rel	obj	id	flag
ground|n	has subcomponent	soil|n	004d-1843-0f4a-8ad4	0
digestive system|ns	has subcomponent	esophagus|n	00f8-d40c-40bb-d78a	0
sea turtle|ns	has subcomponent	flipper|n	0149-ae3f-4139-1e0b	0
bird|n	has subcomponent	claw|n	06bb-097d-8689-544f	0
body|n	has subcomponent	internal organ|ns	07a1-a8a2-97ac-1866	0
animal|n	has subcomponent	leg|n	0949-9caa-3b15-44cd	0
muscle|n	has subcomponent	muscle cell|ns	09b1-d7da-1e41-3064	0
roller skate|ns	has subcomponent	wheel|n	0b44-5bde-7e62-3b5c	0
environment|n	has subcomponent	soil|n	1004-3a8f-3732-df62	0
body|n	has subcomponent	nose|n	1548-3b52-24c7-3f2d	0
material|n	has subcomponent	surface|n	1676-0dc7-3e9b-615a	0
year|n	has subcomponent	winter|n	1868-6ec4-8e36-8c79	0
whole|n	has subcomponent	piece|n	18b6-e242-49e7-e95b	0
cell|n	has subcomponent	cell membrane|ns	18c9-8e1d-c07f-850a	0
digestive system|ns	has subcomponent	intestine|n	1a59-b031-9090-8933	0
bat|n	has subcomponent	fur|n	1b62-5339-14e0-cd72	0
body|n	has subcomponent	cell|n	2167-5f58-b8bb-6a22	0
head|n	has subcomponent	eye|n	2173-1dd1-fdbb-cf94	0
see|v	instrument	eye|n	2173-1dd1-fdbb-cf94	0
size|n	has subcomponent	length|n	21f2-7587-e5e3-e55c	0
protect|v	instrument	skeletal system|ns	23e8-c43f-6394-cd30	0
support|v	instrument	skeletal system|ns	23e8-c43f-6394-cd30	0
animal|n	has subcomponent	foot|n	25f9-09c2-3469-a2f8	0
walk|v	instrument	foot|n	25f9-09c2-3469-a2f8	0
feel|v	instrument	whisker|n	28be-f4f5-1057-562f	0
fish|n	has subcomponent	whisker|n	28be-f4f5-1057-562f	0
skeletal system|ns	has subcomponent	skeleton|n	290b-dd26-b289-0cff	0
beach|n	has subcomponent	sand|n	2f45-350f-6049-7f1a	0
environment|n	has subcomponent	atmosphere|n	2f7f-0fc8-1863-e47e	0
nature|n	has subcomponent	atmosphere|n	2f7f-0fc8-1863-e47e	0
animal|n	has subcomponent	fur|n	2f86-693e-7175-9932	0
animal|n	has subcomponent	head|n	309f-f563-d657-27c8	0
body|n	has subcomponent	arm|n	31c9-367f-4e89-4086	0
manipulate|v	agent	person|n	31c9-367f-4e89-4086	0
manipulate|v	instrument	arm|n	31c9-367f-4e89-4086	0
manipulate|v	patient	object|n	31c9-367f-4e89-4086	0
mammal|n	has subcomponent	fur|n	32f6-7c3e-e2cd-2bd0	0
horse|n	has subcomponent	mane|n	3363-8e75-3412-4de0	0
animal|n	has subcomponent	body|n	356b-17e1-59ba-230b	0
animal|n	has subcomponent	nervous system|ns	356b-17e1-59ba-230b	0
animal|n	has subcomponent	face|n	35ef-4ebe-9109-e5aa	0
mountain|n	has subcomponent	mountain top|ns	3c27-844b-912b-1725	0
day|n	has subcomponent	nighttime|n	3e94-319d-1ebd-7f62	0
animal|n	has subcomponent	fat|n	4188-9584-ffec-75e5	0
warmth|v	instrument	fat|n	4188-9584-ffec-75e5	0
digestive system|ns	has subcomponent	mouth|n	4677-279f-1c3b-2333	0
eat|v	instrument	mouth|n	4677-279f-1c3b-2333	0
body|n	has subcomponent	hand|n	48a7-5d3b-ade1-3644	0
