subj	rel	obj	id	flag
Earth's plates|ns	derivational morphology	Earth's plate|ns		4
Mountains|n	derivational morphology	Mountains|n		4
People's|n	derivational morphology	People'|n		4
States|n	derivational morphology	State|n		4
States|n	derivational morphology	State|n		4
Wales|n	derivational morphology	Wales|n		4
alligators|n	derivational morphology	alligator|n		4
alligators|n	derivational morphology	alligator|n		4
alligators|n	derivational morphology	alligator|n		4
animals|n	derivational morphology	animals|n		4
atoms|n	derivational morphology	atoms|n		4
axles|n	derivational morphology	axles|n		4
bacteria|n	derivational morphology	bacteria|n		4
bears|n	derivational morphology	bear|n		4
bears|n	derivational morphology	bear|n		4
bears|n	derivational morphology	bear|n		4
bees|n	derivational morphology	bee|n		4
berries|n	derivational morphology	berry|n		4
berries|n	derivational morphology	berry|n		4
birds|n	derivational morphology	bird|n		4
birds|n	derivational morphology	bird|n		4
birds|n	derivational morphology	bird|n		4
bladders|n	derivational morphology	bladders|n		4
blossoms|n	derivational morphology	blossom|n		4
blossoms|n	derivational morphology	blossom|n		4
blossoms|n	derivational morphology	blossom|v		4
bone cells|ns	derivational morphology	bone cell|ns		4
bones|n	derivational morphology	bone|n		4
bones|n	derivational morphology	bone|n		4
bones|n	derivational morphology	bone|n		4
branches|n	derivational morphology	branch|n		4
branches|n	derivational morphology	branch|n		4
branches|n	derivational morphology	branch|n		4
carbohydrates|n	derivational morphology	carbohydrates|n		4
carnivores|n	derivational morphology	carnivores|n		4
cells|n	derivational morphology	cells|n		4
centimeters|n	derivational morphology	centimeters|n		4
characteristics|n	derivational morphology	characteristics|n		4
charles|n	derivational morphology	charles|n		4
chemicals|n	derivational morphology	chemicals|n		4
children|n	derivational morphology	children|n		4
chloroplasts|n	derivational morphology	chloroplasts|n		4
clouds|n	derivational morphology	cloud|n		4
clouds|n	derivational morphology	cloud|n		4
clouds|n	derivational morphology	cloud|n		4
colors|n	derivational morphology	color|n		4
colors|n	derivational morphology	color|n		4
colors|n	derivational morphology	color|n		4
consumers|n	derivational morphology	consumers|n		4
contents|n	derivational morphology	content|n		4
contents|n	derivational morphology	content|n		4
contents|n	derivational morphology	content|n		4
cows|n	derivational morphology	cow|n		4
cows|n	derivational morphology	cow|n		4
crickets|n	derivational morphology	cricket|n		4
crickets|n	derivational morphology	cricket|n		4
crickets|n	derivational morphology	cricket|n		4
crops|n	derivational morphology	crop|n		4
crops|n	derivational morphology	crop|n		4
crops|n	derivational morphology	crop|n		4
cups|n	derivational morphology	cup|n		4
cups|n	derivational morphology	cup|n		4
cups|n	derivational morphology	cup|n		4
data|n	derivational morphology	data|n		4
days|n	derivational morphology	days|n		4
dead organisms|jn	derivational morphology	dead organism|jn		4
decimeters|n	derivational morphology	decimeters|n		4
degrees celsius|ns	derivational morphology	degrees celsiu|ns		4
degrees|n	derivational morphology	degrees|n		4
eagles|n	derivational morphology	eagle|n		4
eagles|n	derivational morphology	eagle|n		4
eagles|n	derivational morphology	eagle|n		4
earth poles|ns	derivational morphology	earth pole|ns		4
edible plants|jn	derivational morphology	edible plant|jn		4
electromagnets|n	derivational morphology	electromagnets|n		4
elements|n	derivational morphology	elements|n		4
extensive properties|jn	derivational morphology	extensive property|ns		4
eyeglasses|n	derivational morphology	eyeglasses|n		4
eyes|n	derivational morphology	eye|n		4
eyes|n	derivational morphology	eye|n		4
eyes|n	derivational morphology	eye|n		4
feathers|n	derivational morphology	feather|n		4
feathers|n	derivational morphology	feather|n		4
feathers|n	derivational morphology	feather|n		4
feet|n	derivational morphology	feet|n		4
femtometers|n	derivational morphology	femtometers|n		4
ferrous metals|jn	derivational morphology	ferrous metal|jn		4
fertilizers|n	derivational morphology	fertilizers|n		4
fibers|n	derivational morphology	fibers|n		4
fields|n	derivational morphology	field|n		4
fields|n	derivational morphology	field|n		4
fields|n	derivational morphology	field|n		4
flippers|n	derivational morphology	flippers|n		4
flowers|n	derivational morphology	flower|n		4
flowers|n	derivational morphology	flower|n		4
flowers|n	derivational morphology	flower|n		4
forces|n	derivational morphology	force|n		4
forces|n	derivational morphology	force|n		4
forces|n	derivational morphology	force|n		4
forests|n	derivational morphology	forest|n		4
forests|n	derivational morphology	forest|n		4
forests|n	derivational morphology	forest|n		4
freckles|n	derivational morphology	freckle|n		4
freckles|n	derivational morphology	freckle|n		4
freckles|n	derivational morphology	freckle|n		4
frogs|n	derivational morphology	frog|n		4
frogs|n	derivational morphology	frog|n		4
frogs|n	derivational morphology	frog|n		4
fruit trees|ns	derivational morphology	fruit tree|jn		4
gallons|n	derivational morphology	gallons|n		4
gases|n	derivational morphology	gas|n		4
gases|n	derivational morphology	gas|n		4
gases|n	derivational morphology	gas|n		4
gills|n	derivational morphology	gills|n		4
goggles|n	derivational morphology	goggle|v		4
grams|n	derivational morphology	grams|n		4
hares|n	derivational morphology	hare|n		4
hares|n	derivational morphology	hare|n		4
hares|n	derivational morphology	hare|n		4
harmful chemicals|jn	derivational morphology	harmful chemical|jn		4
hawks|n	derivational morphology	hawk|n		4
hawks|n	derivational morphology	hawk|n		4
hawks|n	derivational morphology	hawk|n		4
herbivores|n	derivational morphology	herbivores|n		4
hours|n	derivational morphology	hours|n		4
houses|n	derivational morphology	house|n		4
houses|n	derivational morphology	house|n		4
houses|n	derivational morphology	house|n		4
humans|n	derivational morphology	humans|n		4
ice crystals|ns	derivational morphology	ice crystal|ns		4
insects|n	derivational morphology	insects|n		4
instructions|n	derivational morphology	instructions|n		4
insulators|n	derivational morphology	insulators|n		4
intensive properties|jn	derivational morphology	intensive property|jn		4
internal organs|jn	derivational morphology	internal organ|ns		4
intestines|n	derivational morphology	intestines|n		4
iron nails|ns	derivational morphology	iron nail|ns		4
items|n	derivational morphology	items|n		4
kilograms|n	derivational morphology	kilograms|n		4
kilometers|n	derivational morphology	kilometers|n		4
kits|n	derivational morphology	kit|n		4
kits|n	derivational morphology	kit|n		4
kits|n	derivational morphology	kit|n		4
lakes|n	derivational morphology	lakes|n		4
legs|n	derivational morphology	legs|n		4
lenses|n	derivational morphology	lenses|n		4
levers|n	derivational morphology	lever|n		4
levers|n	derivational morphology	lever|n		4
levers|n	derivational morphology	lever|n		4
light bulb filaments|ns	derivational morphology	light bulb filament|ns		4
light years|ns	derivational morphology	light years|ns		4
light years|ns	derivational morphology	light year|ns		4
limbs|n	derivational morphology	limbs|n		4
liquids|n	derivational morphology	liquids|n		4
liters|n	derivational morphology	liters|n		4
lizards|n	derivational morphology	lizards|n		4
lots|j	derivational morphology	lot|j		4
lots|j	derivational morphology	lot|j		4
lots|j	derivational morphology	lot|j		4
louis|n	derivational morphology	louis|n		4
lungs|n	derivational morphology	lungs|n		4
magnetic fields|jn	derivational morphology	magnetic field|ns		4
materials|n	derivational morphology	materials|n		4
meadow voles|ns	derivational morphology	meadow vole|ns		4
meters|n	derivational morphology	meter|n		4
meters|n	derivational morphology	meter|n		4
meters|n	derivational morphology	meter|n		4
mice|n	derivational morphology	mice|n		4
miles|n	derivational morphology	miles|n		4
milliliters|n	derivational morphology	milliliters|n		4
millimeters|n	derivational morphology	millimeters|n		4
minerals|n	derivational morphology	minerals|n		4
molecules|n	derivational morphology	molecules|n		4
months|n	derivational morphology	months|n		4
muscle cells|ns	derivational morphology	muscle cell|ns		4
muscles|n	derivational morphology	muscle|n		4
muscles|n	derivational morphology	muscle|n		4
muscles|n	derivational morphology	muscle|n		4
musical instruments|jn	derivational morphology	musical instrument|jn		4
nanometers|n	derivational morphology	nanometers|n		4
natural resources|jn	derivational morphology	natural resource|jn		4
nerve cells|ns	derivational morphology	nerve cell|ns		4
nerves|n	derivational morphology	nerve|n		4
nerves|n	derivational morphology	nerve|n		4
nerves|n	derivational morphology	nerve|n		4
non-contact forces|jn	derivational morphology	non-contact force|jn		4
nonliving things|jn	derivational morphology	nonliving thing|jn		4
nutrients|n	derivational morphology	nutrients|n		4
nuts|n	derivational morphology	nut|n		4
nuts|n	derivational morphology	nut|n		4
nuts|n	derivational morphology	nut|n		4
objects|n	derivational morphology	object|n		4
objects|n	derivational morphology	object|n		4
objects|n	derivational morphology	object|n		4
omnivores|n	derivational morphology	omnivores|n		4
organisms|n	derivational morphology	organisms|n		4
other animals|jn	derivational morphology	other animal|jn		4
other organisms|jn	derivational morphology	other organism|jn		4
ounces|n	derivational morphology	ounces|n		4
parents|n	derivational morphology	parent|n		4
parents|n	derivational morphology	parent|n		4
parents|n	derivational morphology	parent|n		4
particles|n	derivational morphology	particles|n		4
peas|n	derivational morphology	peas|n		4
pebbles|n	derivational morphology	pebbles|n		4
people|n	derivational morphology	person|n		4
pesticides|n	derivational morphology	pesticides|n		4
pints|n	derivational morphology	pints|n		4
plant cells|ns	derivational morphology	plant cell|ns		4
plants|n	derivational morphology	plant|n		4
plants|n	derivational morphology	plant|n		4
plants|n	derivational morphology	plant|n		4
plate tectonics|ns	derivational morphology	plate tectonic|ns		4
poles|n	derivational morphology	pole|n		4
poles|n	derivational morphology	pole|n		4
poles|n	derivational morphology	pole|n		4
pollutants|n	derivational morphology	pollutants|n		4
pollutions|n	derivational morphology	pollutions|n		4
pounds|n	derivational morphology	pound|n		4
pounds|n	derivational morphology	pound|n		4
pounds|n	derivational morphology	pound|v		4
predators|n	derivational morphology	predators|n		4
preferences|n	derivational morphology	preferences|n		4
properties|n	derivational morphology	properties|n		4
pulleys|n	derivational morphology	pulleys|n		4
quarts|n	derivational morphology	quarts|n		4
rabbits|n	derivational morphology	rabbit|n		4
rabbits|n	derivational morphology	rabbit|n		4
rabbits|n	derivational morphology	rabbit|n		4
raccoons|n	derivational morphology	raccoons|n		4
railroad tracks|ns	derivational morphology	railroad track|ns		4
refrigerators|n	derivational morphology	refrigerators|n		4
required items|jn	derivational morphology	required item|ns		4
resources|n	derivational morphology	resources|n		4
rocks|j	derivational morphology	rock|n		4
rocks|n	derivational morphology	rock|n		4
rocks|n	derivational morphology	rock|n		4
roots|n	derivational morphology	root|n		4
roots|n	derivational morphology	root|n		4
roots|n	derivational morphology	root|n		4
safety goggles|ns	derivational morphology	safety goggle|ns		4
scavengers|n	derivational morphology	scavengers|n		4
screws|n	derivational morphology	screw|n		4
screws|n	derivational morphology	screw|n		4
screws|n	derivational morphology	screw|v		4
seconds|n	derivational morphology	second|n		4
seconds|n	derivational morphology	second|n		4
seeds|n	derivational morphology	seed|n		4
seeds|n	derivational morphology	seed|n		4
seeds|n	derivational morphology	seed|v		4
sides|n	derivational morphology	side|n		4
sides|n	derivational morphology	side|n		4
sides|n	derivational morphology	side|n		4
skills|n	derivational morphology	skills|n		4
sky conditions|ns	derivational morphology	sky condition|ns		4
sleeping bags|ns	derivational morphology	sleeping bag|ns		4
snakes|n	derivational morphology	snake|n		4
snakes|n	derivational morphology	snake|n		4
snakes|n	derivational morphology	snake|n		4
solids|n	derivational morphology	solids|n		4
spices|n	derivational morphology	spice|n		4
spices|n	derivational morphology	spice|n		4
spices|n	derivational morphology	spice|n		4
spots|n	derivational morphology	spot|n		4
spots|n	derivational morphology	spot|v		4
spots|n	derivational morphology	spot|n		4
squirrels|n	derivational morphology	squirrels|n		4
stars|n	derivational morphology	star|n		4
stars|n	derivational morphology	star|n		4
stars|n	derivational morphology	star|n		4
substances|n	derivational morphology	substances|n		4
surfaces|n	derivational morphology	surface|n		4
surfaces|n	derivational morphology	surface|n		4
surfaces|n	derivational morphology	surface|n		4
surroundings|n	derivational morphology	surrounding|n		4
tectonic plates|jn	derivational morphology	tectonic plate|ns		4
tectonics|n	derivational morphology	tectonics|n		4
thermal gloves|jn	derivational morphology	thermal glove|ns		4
things|jn	derivational morphology	things|jn		4
tonnes|n	derivational morphology	tonnes|n		4
trees|n	derivational morphology	tree|n		4
trees|n	derivational morphology	tree|n		4
trees|n	derivational morphology	tree|n		4
turtles|n	derivational morphology	turtle|n		4
turtles|n	derivational morphology	turtle|n		4
turtles|n	derivational morphology	turtle|n		4
vehicles|n	derivational morphology	vehicles|n		4
walls|n	derivational morphology	wall|n		4
walls|n	derivational morphology	wall|n		4
walls|n	derivational morphology	wall|n		4
waves|n	derivational morphology	wave|n		4
waves|n	derivational morphology	wave|n		4
waves|n	derivational morphology	wave|v		4
weathered rocks|jn	derivational morphology	weathered rock|jn		4
wheels|n	derivational morphology	wheel|n		4
wheels|n	derivational morphology	wheel|n		4
wheels|n	derivational morphology	wheel|n		4
yards|n	derivational morphology	yards|n		4
years|n	derivational morphology	years|n		4
years|ns	derivational morphology	years|ns		4
