subj	rel	obj	id	flag
large|j	instance of	size|n	02eb-d26b-a00c-c559	0
medium|j	instance of	size|n	02eb-d26b-a00c-c559	0
microscopic|j	instance of	size|n	02eb-d26b-a00c-c559	0
object|n	has property	large|j	02eb-d26b-a00c-c559	0
object|n	has property	medium|j	02eb-d26b-a00c-c559	0
object|n	has property	microscopic|j	02eb-d26b-a00c-c559	0
object|n	has property	size|n	02eb-d26b-a00c-c559	0
object|n	has property	small|j	02eb-d26b-a00c-c559	0
object|n	has property	tiny|j	02eb-d26b-a00c-c559	0
small|j	instance of	size|n	02eb-d26b-a00c-c559	0
tiny|j	instance of	size|n	02eb-d26b-a00c-c559	0
mineral|n	has property	streak|n	0367-da98-abce-d6f4	0
flat|j	instance of	flatness|n	046d-7605-f4cd-1f97	0
flatness|n	kind of	shape|n	046d-7605-f4cd-1f97	0
object|n	has property	shape|j	046d-7605-f4cd-1f97	0
surface|n	has property	flatness|n	046d-7605-f4cd-1f97	0
uneven|j	instance of	flatness|n	046d-7605-f4cd-1f97	0
object|n	has property	thickness|n	05fc-2dd1-7863-00f2	0
object|n	has property	thick|j	05fc-2dd1-7863-00f2	0
object|n	has property	thin|j	05fc-2dd1-7863-00f2	0
thick|j	instance of	thickness|n	05fc-2dd1-7863-00f2	0
thin|j	instance of	thickness|n	05fc-2dd1-7863-00f2	0
object|n	has property	length|n	0969-6f9e-9555-9731	0
object|n	has property	length|n	0969-6f9e-9555-9731	0
air|n	has property	air pressure|ns	0b32-125c-d57c-a9fb	0
atmosphere|n	has property	air pressure|ns	0b32-125c-d57c-a9fb	0
weather|n	has property	wind speed|ns	1a23-b7e4-5ac6-60c3	0
wind speed|ns	kind of	speed|n	1a23-b7e4-5ac6-60c3	0
matter|n	has property	composition|n	1d88-121f-5fd2-6ed8	0
object|n	has property	composition|n	1d88-121f-5fd2-6ed8	0
depth|n	kind of	shape|n	1e74-5982-396e-69c8	0
object|n	has property	shape|j	1e74-5982-396e-69c8	0
dry|j	instance of	humidity|n	33cb-429a-ce86-2d79	0
humid|j	instance of	humidity|n	33cb-429a-ce86-2d79	0
weather|n	has property	dry|j	33cb-429a-ce86-2d79	0
