subj	rel	obj	id	flag
Wiltshire|n	at location	England|n	0022-5050-6094-5e18	0
Wiltshire|n	instance of	county|n	0022-5050-6094-5e18	0
Wiltshire|n	structural-noun-compound	Wiltshire|n	0022-5050-6094-5e18	0
New Mexico|ns	at location	United States of America|ns	0085-8387-e36a-9955	0
New Mexico|ns	instance of	state|n	0085-8387-e36a-9955	0
New Mexico|ns	structural-noun-compound	Mexico|n	0085-8387-e36a-9955	0
New Mexico|ns	structural-noun-compound	New|n	0085-8387-e36a-9955	0
Cromartyshire|n	at location	Scotland|n	00eb-c91b-d5db-dc53	0
Cromartyshire|n	instance of	county|n	00eb-c91b-d5db-dc53	0
Cromartyshire|n	structural-noun-compound	Cromartyshire|n	00eb-c91b-d5db-dc53	0
Guerrero|n	at location	Mexico|n	00fb-b374-7f99-dd9a	0
Guerrero|n	instance of	state|n	00fb-b374-7f99-dd9a	0
Guerrero|n	structural-noun-compound	Guerrero|n	00fb-b374-7f99-dd9a	0
Connecticut|n	at location	United States of America|ns	0143-892a-7798-69cf	0
Connecticut|n	instance of	state|n	0143-892a-7798-69cf	0
Connecticut|n	structural-noun-compound	Connecticut|n	0143-892a-7798-69cf	0
Vermont|n	at location	United States of America|ns	01bd-b156-cb97-45fe	0
Vermont|n	instance of	state|n	01bd-b156-cb97-45fe	0
Vermont|n	structural-noun-compound	Vermont|n	01bd-b156-cb97-45fe	0
México|n	at location	Mexico|n	02c4-dba6-7fdf-cbcc	0
México|n	instance of	state|n	02c4-dba6-7fdf-cbcc	0
México|n	structural-noun-compound	México|n	02c4-dba6-7fdf-cbcc	0
California|n	at location	United States of America|ns	0409-e9e6-43fb-ed4c	0
California|n	instance of	state|n	0409-e9e6-43fb-ed4c	0
California|n	structural-noun-compound	California|n	0409-e9e6-43fb-ed4c	0
Puebla|n	at location	Mexico|n	05b9-5022-a64d-7a38	0
Puebla|n	instance of	state|n	05b9-5022-a64d-7a38	0
Puebla|n	structural-noun-compound	Puebla|n	05b9-5022-a64d-7a38	0
Guangxi Autonomous Region|ns	at location	People's Republic of China|ns	065e-077f-3ca5-c39c	0
Guangxi Autonomous Region|ns	instance of	autonomous region|jn	065e-077f-3ca5-c39c	0
Guangxi Autonomous Region|ns	structural-noun-compound	Autonomous|n	065e-077f-3ca5-c39c	0
Guangxi Autonomous Region|ns	structural-noun-compound	Guangxi|n	065e-077f-3ca5-c39c	0
Guangxi Autonomous Region|ns	structural-noun-compound	Region|n	065e-077f-3ca5-c39c	0
Guangxi|n	at location	People's Republic of China|ns	065e-077f-3ca5-c39c	0
Guangxi|n	instance of	autonomous region|jn	065e-077f-3ca5-c39c	0
Guangxi|n	structural-noun-compound	Guangxi|n	065e-077f-3ca5-c39c	0
Guangxi|n	synonym	Guangxi Autonomous Region|ns	065e-077f-3ca5-c39c	0
Oxfordshire|n	at location	England|n	075e-abe3-eed7-2892	0
Oxfordshire|n	instance of	county|n	075e-abe3-eed7-2892	0
Oxfordshire|n	structural-noun-compound	Oxfordshire|n	075e-abe3-eed7-2892	0
Cardiganshire|n	at location	Wales|n	0bf0-4e97-7435-5341	0
Cardiganshire|n	instance of	county|n	0bf0-4e97-7435-5341	0
Cardiganshire|n	structural-noun-compound	Cardiganshire|n	0bf0-4e97-7435-5341	0
Hertfordshire|n	at location	England|n	0d64-c8c0-7dc0-31bb	0
Hertfordshire|n	instance of	county|n	0d64-c8c0-7dc0-31bb	0
Hertfordshire|n	structural-noun-compound	Hertfordshire|n	0d64-c8c0-7dc0-31bb	0
Nova Scotia|ns	at location	Canada|n	0e70-5148-3ebd-4a9c	0
Nova Scotia|ns	instance of	province|n	0e70-5148-3ebd-4a9c	0
Nova Scotia|ns	structural-noun-compound	Nova|n	0e70-5148-3ebd-4a9c	0
Nova Scotia|ns	structural-noun-compound	Scotia|n	0e70-5148-3ebd-4a9c	0
Northamptonshire|n	at location	England|n	0fbb-a8c2-9806-8d0d	0
Northamptonshire|n	instance of	county|n	0fbb-a8c2-9806-8d0d	0
Northamptonshire|n	structural-noun-compound	Northamptonshire|n	0fbb-a8c2-9806-8d0d	0
Hubei|n	at location	People's Republic of China|ns	107f-3cb6-e1cb-b5d8	0
Hubei|n	instance of	province|n	107f-3cb6-e1cb-b5d8	0
Hubei|n	structural-noun-compound	Hubei|n	107f-3cb6-e1cb-b5d8	0
Oaxaca|n	at location	Mexico|n	1466-8e45-44e9-dfd6	0
Oaxaca|n	instance of	state|n	1466-8e45-44e9-dfd6	0
Oaxaca|n	structural-noun-compound	Oaxaca|n	1466-8e45-44e9-dfd6	0
Campeche|n	at location	Mexico|n	146a-f9d2-9dc4-c6ac	0
Campeche|n	instance of	state|n	146a-f9d2-9dc4-c6ac	0
Campeche|n	structural-noun-compound	Campeche|n	146a-f9d2-9dc4-c6ac	0
Tabasco|n	at location	Mexico|n	1476-8846-bca5-5a50	0
Tabasco|n	instance of	state|n	1476-8846-bca5-5a50	0
Tabasco|n	structural-noun-compound	Tabasco|n	1476-8846-bca5-5a50	0
Sutherland|n	at location	Scotland|n	1529-014d-66cb-2b2c	0
Sutherland|n	instance of	county|n	1529-014d-66cb-2b2c	0
Sutherland|n	structural-noun-compound	Sutherland|n	1529-014d-66cb-2b2c	0
