subj	rel	obj	id	flag
image|n	synonym	visual depiction|jn	004b-3c8c-0f5d-2873	0
child|n	synonym	offspring|n	00fd-04c0-5805-8b81	0
young|n	synonym	offspring|n	00fd-04c0-5805-8b81	0
be insulated|v	instrument	insulation|n	012f-b681-a0e0-376a	0
CO2|n	synonym	carbon dioxide|ns	01a8-2f77-9145-2ab3	0
inexhaustible|j	synonym	always available|jn	01bb-da65-ecdd-404c	0
discover|v	synonym	make discovery|vp	01ce-5c8d-152d-6464	0
convert|v	similar to	produce|v	0308-b556-3182-b793	0
structure|n	similar to	shape|n	0337-38c2-e9b5-2f97	0
similar|n	synonym	in common|ns	0342-b4ed-ed5d-6fdf	0
warm|j	synonym	warm temperature|jn	03e0-14b7-ecf9-28e4	0
bounce back|v	synonym	reflect|v	041b-a683-c7b9-85b4	0
return|v	kind of	bring|v	04e9-5287-eb58-61cb	0
warm|n	similar to	hot|n	05d2-d1e3-489a-8716	0
break down|v	result	small piece|jn	0610-89d4-acb3-b0dc	0
break down|v	similar to	break|v	0610-89d4-acb3-b0dc	0
climate|n	synonym	environment|n	0696-4d28-5530-2f95	0
limit|v	synonym	decrease|v	0714-a69b-67e1-fc94	0
catch|v	derivational morphology	catching|n	08a6-a188-ffd9-a822	0
catch|v	synonym	obtain|v	08a6-a188-ffd9-a822	0
obtain|v	derivational morphology	obtaining|v	08a6-a188-ffd9-a822	0
wash out|v	instrument	water|n	0902-751a-e13d-ac41	0
wash out|v	result	move|v	0902-751a-e13d-ac41	0
transfer|v	kind of	supply|v	0a6f-6cda-f364-a708	0
changing|n	derivational morphology	change|v	0ad2-7d4f-40c4-13c5	0
staying|v	derivational morphology	stay|v	0ad2-7d4f-40c4-13c5	0
stay|v	antonym	change|v	0ad2-7d4f-40c4-13c5	0
season|n	synonym	temperature change|av	0ae5-7e63-0d02-bd6a	0
variety|n	synonym	different kind|jn	0bbd-c06e-f04f-4a91	0
variety|n	synonym	different type|jn	0bbd-c06e-f04f-4a91	0
destruction|n	derivational morphology	destroy|v	0bc7-4574-ceb9-5aa0	0
ultraviolet ray|ns	synonym	ultraviolet light|ns	0bfe-6bc5-5887-4c10	0
organism|n	synonym	life|n	0d33-7089-468d-fd4b	0
detect|v	kind of	observe|v	0e17-84f1-a9f9-f27f	0
store|v	synonym	hold|v	0f02-bd0a-c36c-0bbc	0
show|v	synonym	present|v	0f65-4fa3-49b1-0794	0
