subj	rel	obj	id	flag
reflect light ray|vp	instrument	sunglasses|n	010f-22bb-c786-5a0e	0
sunglasses|n	at location	eye|n	010f-22bb-c786-5a0e	0
communicate|v	instrument	internet|n	0197-4516-5bc8-bc8f	0
keep warm|vj	instrument	greenhouse|n	029c-4b0e-d2c0-2383	0
protect plant|vp	instrument	greenhouse|n	029c-4b0e-d2c0-2383	0
excrete urine|vp	source	bladder|n	02bd-4712-66b2-5c24	0
store urine|vp	instrument	bladder|n	02bd-4712-66b2-5c24	0
cook food|vp	instrument	burn natural gas|vp	0331-acb0-62fe-f352	0
produce electricity|vp	instrument	oil|n	06de-ca22-f447-d929	0
lift heavy object|vp	instrument	lever|n	08ea-2bfc-e6e1-9c7d	0
move heavy object|vp	instrument	lever|n	08ea-2bfc-e6e1-9c7d	0
lift|v	instrument	pulley|n	09a7-d167-d5dc-c71b	0
lift|v	patient	object|n	09a7-d167-d5dc-c71b	0
lower|v	instrument	pulley|n	09a7-d167-d5dc-c71b	0
lower|v	patient	object|n	09a7-d167-d5dc-c71b	0
monitor location|vp	instrument	tag|n	09b3-241c-6fef-fc12	0
electrical device|jn	at location	home|n	0a68-679d-5a83-b70b	0
industry|n	has subcomponent	electrical device|jn	0a68-679d-5a83-b70b	0
measure earthquake magnitude|vp	instrument	seismometer|n	0b41-0bce-3131-bd88	0
measure earthquake strength|vp	instrument	seismometer|n	0b41-0bce-3131-bd88	0
protect plant|vp	instrument	greenhouse|n	0b8a-d16a-4a24-14c5	0
navigate|v	at location	ocean|n	0cb5-7f02-de35-7c66	0
navigate|v	at location	sea|n	0cb5-7f02-de35-7c66	0
navigate|v	instrument	compass|n	0cb5-7f02-de35-7c66	0
describe size|vp	instrument	size|n	0cdb-042b-7900-4dee	0
filter|n	derivational morphology	filter|v	0d7e-4532-27b4-43c9	0
separate liquid|vp	instrument	filter|n	0d7e-4532-27b4-43c9	0
stop vehicle|vp	instrument	brake|n	0dab-6edc-e179-77ac	0
stop vehicle|vp	instrument	friction|n	0dab-6edc-e179-77ac	0
vehicle|n	has subcomponent	brake|n	0dab-6edc-e179-77ac	0
plant|n	has subcomponent	seed|n	0e62-10ed-825a-6a1b	0
seed|n	causes	plant|n	0e62-10ed-825a-6a1b	0
seed|n	has subcomponent	food|n	0e62-10ed-825a-6a1b	0
produce electricity|vp	instrument	wind|n	1136-1a04-e6e6-5b99	0
offspring|n	has subcomponent	inherited characteristic|jn	13fe-fbb8-d3d3-8bb8	0
parent|n	has subcomponent	inherited characteristic|jn	13fe-fbb8-d3d3-8bb8	0
fossil|n	has property	old|j	1eeb-eb2c-909d-8762	0
