subj	rel	obj	id	flag
move waste|vp	goal	kidney|n	0d81-d223-b67b-10d1	0
move waste|vp	instrument	blood|n	0d81-d223-b67b-10d1	0
move waste|vp	source	body|n	0d81-d223-b67b-10d1	0
move water|vp	instrument	blood|n	0d81-d223-b67b-10d1	0
spread seed|vp	agent	animal|n	419c-cd03-a464-39af	0
spread seed|vp	agent	bird|n	419c-cd03-a464-39af	0
dna|n	causes	inherited characteristic|jn	42cf-e041-f00a-7e84	0
parent|n	has subcomponent	dna|n	42cf-e041-f00a-7e84	0
parent|n	has subcomponent	offspring|n	42cf-e041-f00a-7e84	0
transport liquid|vp	instrument	tube|n	4732-b071-1667-75e1	0
electricity|n	at location	electrical conductor|jn	5661-379f-7e61-6d32	0
move food|vp	goal	stomach|n	8b96-cdd1-a453-1a8f	0
move food|vp	instrument	esophagus|n	8b96-cdd1-a453-1a8f	0
move food|vp	source	mouth|n	8b96-cdd1-a453-1a8f	0
sound|n	at location	air|n	8f50-0cc2-61eb-9e7f	0
gene|n	causes	inherited characteristic|jn	a93e-05d1-02c8-7f9f	0
parent|n	has subcomponent	gene|n	a93e-05d1-02c8-7f9f	0
parent|n	has subcomponent	offspring|n	a93e-05d1-02c8-7f9f	0
carry oxygen|vp	goal	body|n	c507-1be6-062b-1712	0
carry oxygen|vp	goal	cell|n	c507-1be6-062b-1712	0
carry oxygen|vp	instrument	blood|n	c507-1be6-062b-1712	0
carry oxygen|vp	source	lung|n	c507-1be6-062b-1712	0
oxygen|n	at location	blood|n	c507-1be6-062b-1712	0
absorb nutrient|vp	instrument	root|n	c69c-a3e1-df55-5fc1	0
absorb nutrient|vp	instrument	root|n	c69c-a3e1-df55-5fc1	0
absorb nutrient|vp	instrument	root|n	c69c-a3e1-df55-5fc1	0
absorb nutrient|vp	instrument	root|n	c69c-a3e1-df55-5fc1	0
absorb nutrient|vp	source	soil|n	c69c-a3e1-df55-5fc1	0
absorb water|vp	instrument	root|n	c69c-a3e1-df55-5fc1	0
absorb water|vp	source	soil|n	c69c-a3e1-df55-5fc1	0
plant|n	has subcomponent	root|n	c69c-a3e1-df55-5fc1	0
root|n	at location	soil|n	c69c-a3e1-df55-5fc1	0
carbohydrate|n	has subcomponent	energy|n	db87-215c-3f42-5a04	0
plant|n	has subcomponent	stem|n	e448-3228-b949-a107	0
transport food|vp	goal	plant|n	e448-3228-b949-a107	0
transport food|vp	instrument	stem|n	e448-3228-b949-a107	0
transport food|vp	source	root|n	e448-3228-b949-a107	0
transport water|vp	instrument	stem|n	e448-3228-b949-a107	0
control body|vp	instrument	nervous system|ns	f91b-66ad-cb48-46c6	0
